排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,中国农业大学,,,1174
2,前5%,南京农业大学,,,840
3,前10%,华中农业大学,,,756
4,前10%,西北农林科技大学,,,422
5,前25%,浙江大学,,,413
6,前25%,河南科技学院,,,333
7,前25%,四川农业大学,,,323
8,前25%,山东农业大学,,,317
9,前25%,扬州大学,,,283
10,前25%,河南农业大学,,,206
10,前25%,湖南农业大学,,,206
12,前25%,沈阳农业大学,,,175
13,前50%,华南农业大学,,,171
14,前50%,西南大学,,,160
15,前50%,东北农业大学,,,100
16,前50%,福建农林大学,,,90
17,前50%,吉林农业大学,,,87
18,前50%,兰州大学,,,74
19,前50%,河北农业大学,,,73
20,前50%,青岛农业大学,,,63
21,前50%,江西农业大学,,,60
22,前50%,广西大学,,,56
23,前50%,山西农业大学,,,54
24,前50%,甘肃农业大学,,,43
