2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,中国农业大学,,,1105
2,2,前5%,南京农业大学,,,852
3,3,前10%,华中农业大学,,,838
4,4,前10%,西北农林科技大学,,,443
5,9,前10%,扬州大学,,,372
6,8,前25%,山东农业大学,,,359
7,5,前25%,浙江大学,,,354
8,7,前25%,四川农业大学,,,334
9,6,前25%,河南科技学院,,,324
10,12,前25%,沈阳农业大学,,,228
11,10,前25%,河南农业大学,,,219
12,10,前25%,湖南农业大学,,,176
13,14,前25%,西南大学,,,163
14,13,前50%,华南农业大学,,,157
15,16,前50%,福建农林大学,,,151
16,15,前50%,东北农业大学,,,138
17,,前50%,浙江农林大学,,,115
18,19,前50%,河北农业大学,,,97
19,,前50%,青海大学,,,89
20,,前50%,安徽农业大学,,,87
21,18,前50%,兰州大学,,,84
22,17,前50%,吉林农业大学,,,82
23,22,前50%,广西大学,,,70
24,21,前50%,江西农业大学,,,63
25,,前50%,内蒙古农业大学,,,56
26,20,前50%,青岛农业大学,,,54
