2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,中国农业大学,,,1303
2,2,前5%,华中农业大学,,,1291
3,7,前10%,扬州大学,,,868
4,4,前10%,华南农业大学,,,683
5,6,前25%,南京农业大学,,,679
6,3,前25%,西北农林科技大学,,,645
7,5,前25%,浙江大学,,,512
8,8,前25%,四川农业大学,,,496
9,9,前25%,吉林大学,,,430
10,10,前25%,河南农业大学,,,328
11,11,前50%,东北农业大学,,,300
12,15,前50%,沈阳农业大学,,,194
13,12,前50%,吉林农业大学,,,192
14,13,前50%,山东农业大学,,,177
15,14,前50%,河南科技大学,,,144
16,17,前50%,黑龙江八一农垦大学,,,106
17,21,前50%,福建农林大学,,,85
18,19,前50%,青岛农业大学,,,83
19,18,前50%,西南大学,,,75
20,,前50%,广西大学,,,74
21,16,前50%,湖南农业大学,,,71
