2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,南京农业大学,,,1267
2,2,前5%,中国农业大学,,,915
3,3,前10%,浙江大学,,,796
4,5,前10%,西北农林科技大学,,,729
5,4,前25%,华中农业大学,,,594
6,6,前25%,华南农业大学,,,187
7,10,前25%,福建农林大学,,,172
8,8,前25%,沈阳农业大学,,,170
8,7,前25%,西南大学,,,170
10,,前25%,南京信息工程大学,,,103
10,15,前25%,山东农业大学,,,103
12,11,前50%,四川农业大学,,,95
12,12,前50%,浙江农林大学,,,95
14,18,前50%,东北农业大学,,,88
15,8,前50%,内蒙古农业大学,,,85
16,16,前50%,北京林业大学,,,69
16,13,前50%,湖南农业大学,,,69
18,14,前50%,河南农业大学,,,53
19,19,前50%,河海大学,,,50
19,,前50%,江西农业大学,,,50
21,,前50%,南京林业大学,,,42
