2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前5%,浙江大学,,,1122
2,1,前5%,华中农业大学,,,902
3,3,前10%,南京农业大学,,,838
4,5,前10%,山东农业大学,,,610
5,4,前25%,中国农业大学,,,552
6,6,前25%,西北农林科技大学,,,515
7,7,前25%,华南农业大学,,,408
8,8,前25%,沈阳农业大学,,,377
9,11,前25%,湖南农业大学,,,268
10,,前25%,浙江农林大学,,,258
11,10,前25%,上海交通大学,,,243
12,19,前50%,安徽农业大学,,,177
13,12,前50%,福建农林大学,,,159
14,13,前50%,四川农业大学,,,149
15,15,前50%,河南农业大学,,,128
16,9,前50%,西南大学,,,120
17,16,前50%,东北农业大学,,,113
18,14,前50%,扬州大学,,,111
19,17,前50%,青岛农业大学,,,99
20,18,前50%,河北农业大学,,,83
21,,前50%,海南大学,,,44
22,,前50%,山西农业大学,,,43
