排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,北京林业大学,,,1127
2,前5%,东北林业大学,,,843
3,前10%,南京林业大学,,,802
4,前10%,西北农林科技大学,,,554
5,前10%,福建农林大学,,,298
6,前25%,兰州大学,,,197
7,前25%,北京师范大学,,,181
8,前25%,浙江农林大学,,,179
9,前25%,河南农业大学,,,170
10,前25%,中南林业科技大学,,,168
11,前25%,四川农业大学,,,127
12,前25%,福建师范大学,,,112
13,前50%,中国农业大学,,,102
14,前50%,华中农业大学,,,89
15,前50%,华南农业大学,,,83
16,前50%,四川大学,,,74
17,前50%,广西大学,,,62
18,前50%,沈阳农业大学,,,55
19,前50%,安徽农业大学,,,54
20,前50%,江西农业大学,,,42
21,前50%,西南大学,,,40
22,前50%,北华大学,,,33
23,前50%,山东农业大学,,,32
23,前50%,西南林业大学,,,32
25,前50%,山西农业大学,,,18
