2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,北京林业大学,,,1300
2,3,前5%,南京林业大学,,,816
3,2,前10%,东北林业大学,,,687
4,4,前10%,西北农林科技大学,,,521
5,8,前25%,浙江农林大学,,,397
6,5,前25%,福建农林大学,,,188
7,10,前25%,中南林业科技大学,,,163
8,11,前25%,四川农业大学,,,127
9,9,前25%,河南农业大学,,,120
10,6,前25%,兰州大学,,,108
11,13,前50%,中国农业大学,,,103
12,14,前50%,华中农业大学,,,91
13,19,前50%,安徽农业大学,,,81
14,15,前50%,华南农业大学,,,71
14,16,前50%,四川大学,,,71
16,17,前50%,广西大学,,,70
17,23,前50%,山东农业大学,,,55
18,18,前50%,沈阳农业大学,,,53
19,21,前50%,西南大学,,,51
20,20,前50%,江西农业大学,,,35
20,23,前50%,西南林业大学,,,35
