2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,浙江大学,,,911
2,3,前5%,中国农业大学,,,661
3,2,前10%,南京农业大学,,,541
4,4,前10%,西北农林科技大学,,,467
5,5,前25%,东北农业大学,,,347
6,6,前25%,贵州大学,,,335
7,7,前25%,华中农业大学,,,257
8,9,前25%,福建农林大学,,,207
9,10,前25%,云南农业大学,,,168
10,11,前25%,华南农业大学,,,116
11,12,前25%,西南大学,,,66
12,14,前50%,安徽农业大学,,,63
12,13,前50%,青岛农业大学,,,63
14,19,前50%,山东农业大学,,,62
15,16,前50%,四川农业大学,,,61
16,17,前50%,扬州大学,,,56
17,21,前50%,南开大学,,,55
18,8,前50%,湖南农业大学,,,46
19,15,前50%,沈阳农业大学,,,38
20,,前50%,中山大学,,,35
21,17,前50%,河北农业大学,,,30
21,22,前50%,长江大学,,,30
23,,前50%,吉林农业大学,,,27
