排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,中国农业大学,,,1500
2,前5%,南京农业大学,,,527
3,前10%,四川农业大学,,,484
4,前10%,浙江大学,,,462
5,前25%,西南大学,,,448
6,前25%,西北农林科技大学,,,341
7,前25%,东北农业大学,,,250
8,前25%,华中农业大学,,,234
9,前25%,江西农业大学,,,209
10,前25%,扬州大学,,,126
11,前25%,华南农业大学,,,123
12,前25%,山东农业大学,,,118
13,前50%,内蒙古农业大学,,,87
14,前50%,兰州大学,,,80
15,前50%,安徽农业大学,,,66
16,前50%,武汉轻工大学,,,62
17,前50%,吉林大学,,,61
18,前50%,湖南农业大学,,,55
19,前50%,河南农业大学,,,53
20,前50%,山西农业大学,,,48
21,前50%,吉林农业大学,,,46
22,前50%,江苏科技大学,,,34
22,前50%,上海交通大学,,,34
24,前50%,河南科技大学,,,33
