2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,中国农业大学,,,1500
2,2,前5%,南京农业大学,,,681
3,8,前10%,华中农业大学,,,531
4,6,前10%,西北农林科技大学,,,527
5,3,前10%,四川农业大学,,,511
6,4,前25%,浙江大学,,,493
7,5,前25%,西南大学,,,405
8,9,前25%,江西农业大学,,,348
9,7,前25%,东北农业大学,,,286
10,10,前25%,扬州大学,,,179
11,11,前25%,华南农业大学,,,175
12,12,前25%,山东农业大学,,,146
13,13,前25%,内蒙古农业大学,,,89
14,18,前50%,湖南农业大学,,,72
14,17,前50%,吉林大学,,,72
14,16,前50%,武汉轻工大学,,,72
17,15,前50%,安徽农业大学,,,71
18,21,前50%,吉林农业大学,,,58
19,14,前50%,兰州大学,,,55
20,20,前50%,山西农业大学,,,54
21,19,前50%,河南农业大学,,,53
22,22,前50%,上海交通大学,,,47
23,,前50%,沈阳农业大学,,,45
24,,前50%,福建农林大学,,,35
25,,前50%,甘肃农业大学,,,34
25,,前50%,西南民族大学,,,34
27,24,前50%,河南科技大学,,,31
