2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前5%,上海中医药大学,,,925
2,4,前5%,北京中医药大学,,,407
3,1,前10%,天津中医药大学,,,274
4,3,前10%,成都中医药大学,,,242
5,18,前25%,江西中医药大学,,,231
6,11,前25%,河南中医药大学,,,206
7,15,前25%,黑龙江中医药大学,,,191
8,8,前25%,长春中医药大学,,,170
9,5,前25%,浙江中医药大学,,,156
10,10,前25%,南京中医药大学,,,140
11,7,前25%,广州中医药大学,,,124
12,6,前50%,首都医科大学,,,99
13,13,前50%,湖南中医药大学,,,71
14,9,前50%,暨南大学,,,67
15,16,前50%,山东中医药大学,,,47
16,14,前50%,福建中医药大学,,,44
17,17,前50%,南方医科大学,,,39
18,12,前50%,安徽中医药大学,,,37
19,20,前50%,湖北中医药大学,,,29
20,19,前50%,辽宁中医药大学,,,24
21,,前50%,陕西中医药大学,,,22
22,,前50%,广西中医药大学,,,15
