排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,中国药科大学,,,878
2,前5%,黑龙江中医药大学,,,559
3,前10%,北京协和医学院,,,525
4,前10%,成都中医药大学,,,469
5,前10%,上海中医药大学,,,383
6,前25%,南京中医药大学,,,333
7,前25%,暨南大学,,,266
8,前25%,天津中医药大学,,,244
9,前25%,浙江中医药大学,,,208
10,前25%,北京中医药大学,,,188
11,前25%,首都医科大学,,,141
12,前25%,沈阳药科大学,,,121
13,前25%,广州中医药大学,,,104
14,前50%,第二军医大学,,,98
15,前50%,第四军医大学,,,49
16,前50%,安徽中医药大学,,,41
17,前50%,南方医科大学,,,37
18,前50%,福建中医药大学,,,29
18,前50%,辽宁中医药大学,,,29
18,前50%,陕西中医药大学,,,29
18,前50%,长春中医药大学,,,29
22,前50%,安徽医科大学,,,20
22,前50%,河南中医药大学,,,20
22,前50%,湖南中医药大学,,,20
25,前50%,湖北中医药大学,,,18
25,前50%,温州医科大学,,,18
