2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,8,前5%,天津中医药大学,,,686
2,1,前5%,中国药科大学,,,565
3,5,前10%,上海中医药大学,,,502
4,7,前10%,暨南大学,,,491
5,4,前10%,成都中医药大学,,,332
6,6,前25%,南京中医药大学,,,320
7,2,前25%,黑龙江中医药大学,,,275
8,12,前25%,沈阳药科大学,,,238
9,3,前25%,北京协和医学院,,,229
10,9,前25%,浙江中医药大学,,,206
11,16,前25%,安徽中医药大学,,,185
12,22,前25%,河南中医药大学,,,167
13,18,前25%,长春中医药大学,,,164
14,10,前50%,北京中医药大学,,,156
15,13,前50%,广州中医药大学,,,96
16,17,前50%,南方医科大学,,,85
17,11,前50%,首都医科大学,,,69
18,14,前50%,海军军医大学,,,50
19,15,前50%,空军军医大学,,,47
20,,前50%,西北大学,,,34
21,18,前50%,辽宁中医药大学,,,33
22,18,前50%,福建中医药大学,,,30
23,18,前50%,陕西中医药大学,,,26
24,22,前50%,湖南中医药大学,,,23
25,,前50%,江西中医药大学,,,21
26,25,前50%,温州医科大学,,,17
