排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,北京中医药大学,,,618
2,前5%,上海中医药大学,,,300
3,前5%,复旦大学,,,273
4,前10%,辽宁中医药大学,,,214
5,前10%,天津中医药大学,,,192
6,前10%,南京中医药大学,,,163
7,前10%,大连医科大学,,,155
8,前25%,第二军医大学,,,147
9,前25%,广州中医药大学,,,131
10,前25%,第四军医大学,,,114
11,前25%,扬州大学,,,106
12,前25%,华中科技大学,,,69
13,前25%,南方医科大学,,,63
14,前25%,浙江中医药大学,,,51
15,前25%,福建中医药大学,,,49
15,前25%,河南中医药大学,,,49
15,前25%,首都医科大学,,,49
18,前50%,湖南中医药大学,,,43
19,前50%,成都中医药大学,,,39
20,前50%,山东中医药大学,,,33
21,前50%,天津医科大学,,,22
22,前50%,黑龙江中医药大学,,,20
23,前50%,安徽中医药大学,,,18
23,前50%,四川大学,,,18
25,前50%,北京大学,,,16
25,前50%,陕西中医药大学,,,16
27,前50%,上海交通大学,,,14
27,前50%,温州医科大学,,,14
29,前50%,暨南大学,,,12
29,前50%,中国药科大学,,,12
31,前50%,广西中医药大学,,,10
31,前50%,兰州大学,,,10
31,前50%,西安交通大学,,,10
34,前50%,郑州大学,,,8
34,前50%,重庆医科大学,,,8
