2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,北京中医药大学,,,509
2,2,前5%,上海中医药大学,,,457
3,,前5%,广东药科大学,,,360
4,3,前10%,复旦大学,,,214
5,7,前10%,大连医科大学,,,188
6,6,前10%,南京中医药大学,,,177
7,8,前10%,海军军医大学,,,169
8,4,前25%,辽宁中医药大学,,,162
9,11,前25%,扬州大学,,,153
10,5,前25%,天津中医药大学,,,130
11,10,前25%,空军军医大学,,,106
12,9,前25%,广州中医药大学,,,102
13,13,前25%,南方医科大学,,,83
14,12,前25%,华中科技大学,,,56
14,15,前25%,首都医科大学,,,56
16,14,前25%,浙江中医药大学,,,47
17,29,前25%,暨南大学,,,41
18,25,前25%,北京大学,,,40
19,15,前50%,福建中医药大学,,,39
19,15,前50%,河南中医药大学,,,39
19,18,前50%,湖南中医药大学,,,39
22,,前50%,南京医科大学,,,32
23,20,前50%,山东中医药大学,,,28
24,27,前50%,上海交通大学,,,23
25,23,前50%,安徽中医药大学,,,22
25,25,前50%,陕西中医药大学,,,22
27,23,前50%,四川大学,,,20
28,19,前50%,成都中医药大学,,,19
28,22,前50%,黑龙江中医药大学,,,19
30,21,前50%,天津医科大学,,,14
30,27,前50%,温州医科大学,,,14
32,,前50%,安徽医科大学,,,9
32,31,前50%,广西中医药大学,,,9
32,,前50%,河北中医学院,,,9
35,31,前50%,兰州大学,,,8
35,31,前50%,西安交通大学,,,8
35,34,前50%,重庆医科大学,,,8
