排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,上海交通大学,,,1312
2,前5%,北京协和医学院,,,1050
3,前5%,中山大学,,,1010
4,前5%,复旦大学,,,971
5,前5%,北京大学,,,921
6,前10%,浙江大学,,,830
7,前10%,第二军医大学,,,781
8,前10%,首都医科大学,,,620
9,前10%,华中科技大学,,,560
10,前10%,第三军医大学,,,516
11,前25%,四川大学,,,484
12,前25%,第四军医大学,,,482
13,前25%,中南大学,,,404
14,前25%,南京医科大学,,,383
15,前25%,山东大学,,,294
16,前25%,同济大学,,,283
17,前25%,南方医科大学,,,250
18,前25%,天津医科大学,,,229
19,前25%,苏州大学,,,203
20,前25%,中国医科大学,,,197
21,前25%,西安交通大学,,,195
22,前25%,哈尔滨医科大学,,,185
23,前25%,广州医科大学,,,180
24,前25%,重庆医科大学,,,175
25,前25%,温州医科大学,,,153
26,前25%,东南大学,,,142
27,前25%,南京大学,,,136
28,前50%,郑州大学,,,126
29,前50%,河北医科大学,,,124
30,前50%,武汉大学,,,122
31,前50%,吉林大学,,,116
32,前50%,安徽医科大学,,,104
33,前50%,厦门大学,,,80
34,前50%,大连医科大学,,,76
35,前50%,青岛大学,,,62
36,前50%,福建医科大学,,,52
36,前50%,暨南大学,,,52
36,前50%,南昌大学,,,52
39,前50%,广西医科大学,,,50
39,前50%,徐州医科大学,,,50
41,前50%,新疆医科大学,,,36
42,前50%,江苏大学,,,34
42,前50%,南京中医药大学,,,34
42,前50%,南通大学,,,34
45,前50%,清华大学,,,33
45,前50%,汕头大学,,,33
47,前50%,山西医科大学,,,30
48,前50%,广东医科大学,,,29
49,前50%,兰州大学,,,24
49,前50%,宁夏医科大学,,,24
51,前50%,济南大学,,,23
52,前50%,昆明医科大学,,,22
53,前50%,南开大学,,,19
54,前50%,浙江中医药大学,,,17
