2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,上海交通大学,,,1255
2,2,前5%,北京协和医学院,,,959
3,3,前5%,中山大学,,,939
4,4,前5%,复旦大学,,,911
5,5,前5%,北京大学,,,839
6,6,前10%,浙江大学,,,814
7,8,前10%,首都医科大学,,,567
8,9,前10%,华中科技大学,,,558
9,7,前10%,海军军医大学,,,455
10,10,前10%,陆军军医大学,,,436
11,11,前10%,四川大学,,,417
12,12,前25%,空军军医大学,,,407
13,13,前25%,中南大学,,,404
14,14,前25%,南京医科大学,,,356
15,16,前25%,同济大学,,,292
16,15,前25%,山东大学,,,290
17,17,前25%,南方医科大学,,,244
18,18,前25%,天津医科大学,,,227
19,19,前25%,苏州大学,,,190
20,21,前25%,西安交通大学,,,180
21,20,前25%,中国医科大学,,,179
22,23,前25%,广州医科大学,,,177
23,25,前25%,温州医科大学,,,176
24,27,前25%,南京大学,,,175
25,30,前25%,武汉大学,,,174
26,24,前25%,重庆医科大学,,,172
27,22,前25%,哈尔滨医科大学,,,167
28,31,前50%,吉林大学,,,131
29,28,前50%,郑州大学,,,123
30,26,前50%,东南大学,,,114
31,29,前50%,河北医科大学,,,105
32,32,前50%,安徽医科大学,,,87
33,33,前50%,厦门大学,,,73
34,34,前50%,大连医科大学,,,69
35,36,前50%,南昌大学,,,65
36,36,前50%,福建医科大学,,,59
36,35,前50%,青岛大学,,,59
38,39,前50%,广西医科大学,,,52
38,39,前50%,徐州医科大学,,,52
40,36,前50%,暨南大学,,,51
40,45,前50%,清华大学,,,51
42,42,前50%,南通大学,,,44
43,41,前50%,新疆医科大学,,,42
44,42,前50%,江苏大学,,,40
45,48,前50%,广东医科大学,,,36
46,42,前50%,南京中医药大学,,,31
47,49,前50%,兰州大学,,,30
48,45,前50%,汕头大学,,,28
49,47,前50%,山西医科大学,,,27
50,51,前50%,济南大学,,,26
51,53,前50%,南开大学,,,25
52,52,前50%,昆明医科大学,,,21
52,54,前50%,浙江中医药大学,,,21
54,,前50%,扬州大学,,,20
55,,前50%,电子科技大学,,,18
55,49,前50%,宁夏医科大学,,,18
