排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,华中科技大学,,,874
2,前5%,复旦大学,,,812
3,前5%,南京医科大学,,,774
4,前10%,北京大学,,,676
5,前10%,中山大学,,,508
6,前10%,北京协和医学院,,,489
7,前10%,浙江大学,,,422
8,前25%,上海交通大学,,,340
9,前25%,第三军医大学,,,321
10,前25%,首都医科大学,,,307
11,前25%,第四军医大学,,,270
12,前25%,四川大学,,,242
13,前25%,第二军医大学,,,232
14,前25%,安徽医科大学,,,209
15,前25%,山东大学,,,207
16,前25%,哈尔滨医科大学,,,202
17,前25%,中南大学,,,194
18,前25%,中国医科大学,,,183
19,前50%,东南大学,,,174
20,前50%,南方医科大学,,,138
21,前50%,苏州大学,,,136
22,前50%,吉林大学,,,133
23,前50%,天津医科大学,,,131
24,前50%,江南大学,,,129
25,前50%,武汉大学,,,113
25,前50%,西安交通大学,,,113
27,前50%,重庆医科大学,,,110
28,前50%,郑州大学,,,101
29,前50%,南昌大学,,,96
30,前50%,广州医科大学,,,93
31,前50%,山西医科大学,,,78
32,前50%,同济大学,,,68
33,前50%,厦门大学,,,67
34,前50%,青岛大学,,,60
35,前50%,兰州大学,,,50
36,前50%,南通大学,,,44
37,前50%,广西医科大学,,,43
