2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,华中科技大学,,,870
2,2,前5%,复旦大学,,,810
3,3,前5%,南京医科大学,,,713
4,5,前10%,中山大学,,,669
5,4,前10%,北京大学,,,613
6,6,前10%,北京协和医学院,,,610
7,7,前10%,浙江大学,,,434
8,8,前25%,上海交通大学,,,385
9,10,前25%,首都医科大学,,,350
10,9,前25%,陆军军医大学,,,338
11,12,前25%,四川大学,,,272
12,11,前25%,空军军医大学,,,217
13,15,前25%,山东大学,,,216
14,17,前25%,中南大学,,,210
15,14,前25%,安徽医科大学,,,203
16,13,前25%,海军军医大学,,,192
16,18,前25%,中国医科大学,,,192
18,24,前25%,江南大学,,,188
19,16,前25%,哈尔滨医科大学,,,178
20,19,前50%,东南大学,,,177
21,25,前50%,西安交通大学,,,168
22,21,前50%,苏州大学,,,158
23,20,前50%,南方医科大学,,,155
24,23,前50%,天津医科大学,,,145
25,22,前50%,吉林大学,,,126
26,28,前50%,郑州大学,,,124
27,25,前50%,武汉大学,,,119
28,27,前50%,重庆医科大学,,,115
29,29,前50%,南昌大学,,,112
30,30,前50%,广州医科大学,,,105
31,34,前50%,青岛大学,,,104
32,31,前50%,山西医科大学,,,88
33,32,前50%,同济大学,,,87
34,,前50%,温州医科大学,,,83
35,33,前50%,厦门大学,,,65
36,37,前50%,广西医科大学,,,62
37,,前50%,暨南大学,,,61
38,,前50%,河北医科大学,,,50
39,,前50%,大连医科大学,,,49
