2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前5%,四川大学,,,1244
2,1,前5%,北京大学,,,877
3,4,前10%,上海交通大学,,,769
4,3,前10%,空军军医大学,,,648
5,5,前25%,武汉大学,,,408
6,6,前25%,中山大学,,,375
7,7,前25%,首都医科大学,,,323
8,8,前25%,南京医科大学,,,129
9,15,前25%,华中科技大学,,,121
10,11,前25%,同济大学,,,106
11,9,前25%,中国医科大学,,,99
12,17,前50%,重庆医科大学,,,94
13,11,前50%,浙江大学,,,87
14,10,前50%,山东大学,,,84
15,13,前50%,温州医科大学,,,62
16,15,前50%,南方医科大学,,,59
17,14,前50%,吉林大学,,,58
18,19,前50%,南京大学,,,57
19,,前50%,中南大学,,,48
20,18,前50%,西安交通大学,,,46
21,,前50%,复旦大学,,,45
22,20,前50%,天津医科大学,,,44
23,20,前50%,哈尔滨医科大学,,,40
