排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,复旦大学,,,1126
2,前5%,上海交通大学,,,1013
3,前5%,中山大学,,,912
4,前5%,北京大学,,,904
5,前5%,第三军医大学,,,866
6,前10%,浙江大学,,,828
7,前10%,北京协和医学院,,,758
8,前10%,第二军医大学,,,533
9,前10%,南京医科大学,,,528
10,前10%,华中科技大学,,,521
11,前25%,第四军医大学,,,453
12,前25%,山东大学,,,444
13,前25%,首都医科大学,,,435
14,前25%,苏州大学,,,423
15,前25%,四川大学,,,371
16,前25%,南方医科大学,,,313
17,前25%,吉林大学,,,304
18,前25%,同济大学,,,303
19,前25%,中南大学,,,271
20,前25%,清华大学,,,269
21,前25%,武汉大学,,,252
21,前25%,中国医科大学,,,252
23,前25%,南京大学,,,245
24,前25%,天津医科大学,,,235
25,前25%,南通大学,,,229
26,前50%,重庆医科大学,,,206
27,前50%,厦门大学,,,198
28,前50%,哈尔滨医科大学,,,190
29,前50%,暨南大学,,,178
30,前50%,西安交通大学,,,174
31,前50%,郑州大学,,,169
32,前50%,安徽医科大学,,,156
33,前50%,河北医科大学,,,142
33,前50%,南开大学,,,142
35,前50%,温州医科大学,,,134
36,前50%,大连医科大学,,,121
37,前50%,广州医科大学,,,104
38,前50%,福建医科大学,,,103
39,前50%,东南大学,,,85
40,前50%,青岛大学,,,82
41,前50%,广东医科大学,,,79
41,前50%,泰山医学院,,,79
43,前50%,江苏大学,,,76
43,前50%,中国药科大学,,,76
45,前50%,深圳大学,,,75
46,前50%,汕头大学,,,66
47,前50%,扬州大学,,,65
48,前50%,徐州医科大学,,,59
49,前50%,新乡医学院,,,50
50,前50%,滨州医学院,,,49
