2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,4,前1%,北京大学,,,1228
2,2,前5%,上海交通大学,,,1125
3,1,前5%,复旦大学,,,971
4,3,前5%,中山大学,,,896
5,6,前5%,浙江大学,,,795
6,7,前10%,北京协和医学院,,,651
7,5,前10%,陆军军医大学,,,626
8,9,前10%,南京医科大学,,,546
9,10,前10%,华中科技大学,,,537
10,13,前10%,首都医科大学,,,483
11,11,前25%,空军军医大学,,,456
12,8,前25%,海军军医大学,,,455
13,14,前25%,苏州大学,,,413
14,12,前25%,山东大学,,,401
15,16,前25%,南方医科大学,,,372
16,24,前25%,天津医科大学,,,369
17,15,前25%,四川大学,,,368
18,21,前25%,中国医科大学,,,340
19,17,前25%,吉林大学,,,308
20,19,前25%,中南大学,,,281
21,18,前25%,同济大学,,,271
22,20,前25%,清华大学,,,254
23,21,前25%,武汉大学,,,241
24,23,前25%,南京大学,,,239
25,25,前25%,南通大学,,,231
26,26,前25%,重庆医科大学,,,222
27,27,前25%,厦门大学,,,206
28,31,前50%,郑州大学,,,190
29,29,前50%,暨南大学,,,187
30,30,前50%,西安交通大学,,,185
31,28,前50%,哈尔滨医科大学,,,171
32,35,前50%,温州医科大学,,,161
33,32,前50%,安徽医科大学,,,160
33,33,前50%,南开大学,,,160
35,37,前50%,广州医科大学,,,150
36,33,前50%,河北医科大学,,,149
37,36,前50%,大连医科大学,,,139
38,45,前50%,深圳大学,,,138
39,40,前50%,青岛大学,,,116
40,38,前50%,福建医科大学,,,105
41,39,前50%,东南大学,,,91
42,43,前50%,中国药科大学,,,83
43,,前50%,广西医科大学,,,79
44,48,前50%,徐州医科大学,,,78
45,43,前50%,江苏大学,,,75
46,41,前50%,山东第一医科大学,,,73
47,,前50%,南昌大学,,,66
48,,前50%,锦州医科大学,,,64
49,41,前50%,广东医科大学,,,63
50,46,前50%,汕头大学,,,62
51,49,前50%,新乡医学院,,,58
52,47,前50%,扬州大学,,,55
53,50,前50%,滨州医学院,,,49
54,,前50%,昆明医科大学,,,48
