排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,中山大学,,,431
2,前5%,中南大学,,,400
3,前5%,北京大学,,,277
4,前10%,山东大学,,,213
5,前10%,首都医科大学,,,186
6,前10%,四川大学,,,165
7,前25%,武汉大学,,,157
8,前25%,第二军医大学,,,146
9,前25%,天津医科大学,,,134
10,前25%,上海交通大学,,,133
11,前25%,复旦大学,,,125
12,前25%,中国医科大学,,,110
13,前25%,昆明医科大学,,,90
14,前25%,杭州师范大学,,,67
14,前25%,西安交通大学,,,67
14,前25%,郑州大学,,,67
14,前25%,重庆医科大学,,,67
18,前50%,哈尔滨医科大学,,,57
19,前50%,延边大学,,,55
20,前50%,温州医科大学,,,51
21,前50%,华中科技大学,,,49
22,前50%,苏州大学,,,44
23,前50%,浙江中医药大学,,,40
24,前50%,安徽医科大学,,,38
25,前50%,滨州医学院,,,36
25,前50%,福建医科大学,,,36
25,前50%,广州中医药大学,,,36
25,前50%,暨南大学,,,36
25,前50%,南京中医药大学,,,36
30,前50%,南京医科大学,,,30
30,前50%,泰山医学院,,,30
32,前50%,天津中医药大学,,,26
32,前50%,浙江大学,,,26
