2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前5%,中南大学,,,450
2,1,前5%,中山大学,,,366
3,4,前5%,山东大学,,,257
4,3,前10%,北京大学,,,247
5,,前10%,北京协和医学院,,,225
6,7,前10%,武汉大学,,,213
7,6,前10%,四川大学,,,207
8,9,前25%,天津医科大学,,,177
9,10,前25%,上海交通大学,,,162
10,8,前25%,海军军医大学,,,147
11,11,前25%,复旦大学,,,141
12,5,前25%,首都医科大学,,,137
13,14,前25%,郑州大学,,,129
14,14,前25%,西安交通大学,,,90
15,14,前25%,重庆医科大学,,,84
16,25,前25%,滨州医学院,,,79
17,12,前25%,中国医科大学,,,78
18,22,前25%,苏州大学,,,69
19,18,前50%,哈尔滨医科大学,,,63
19,21,前50%,华中科技大学,,,63
21,25,前50%,福建医科大学,,,60
21,25,前50%,广州中医药大学,,,60
21,14,前50%,杭州师范大学,,,60
21,19,前50%,延边大学,,,60
25,25,前50%,南京中医药大学,,,54
25,20,前50%,温州医科大学,,,54
27,,前50%,湖南中医药大学,,,48
27,32,前50%,天津中医药大学,,,48
29,23,前50%,浙江中医药大学,,,45
30,25,前50%,暨南大学,,,42
30,,前50%,扬州大学,,,42
30,32,前50%,浙江大学,,,42
33,24,前50%,安徽医科大学,,,39
33,,前50%,华北理工大学,,,39
33,,前50%,南方医科大学,,,39
36,,前50%,广州医科大学,,,33
