排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京大学,,,1216
2,前5%,北京协和医学院,,,1097
3,前5%,中国药科大学,,,947
4,前5%,复旦大学,,,835
5,前5%,浙江大学,,,723
6,前5%,四川大学,,,610
7,前5%,上海交通大学,,,591
8,前10%,沈阳药科大学,,,584
9,前10%,第二军医大学,,,542
10,前10%,中山大学,,,506
11,前10%,中南大学,,,486
12,前10%,山东大学,,,429
13,前10%,华中科技大学,,,374
14,前10%,南京大学,,,330
15,前25%,哈尔滨医科大学,,,276
16,前25%,苏州大学,,,258
17,前25%,暨南大学,,,244
18,前25%,武汉大学,,,236
19,前25%,南京医科大学,,,221
20,前25%,西安交通大学,,,203
21,前25%,中国海洋大学,,,191
22,前25%,南京中医药大学,,,188
23,前25%,第三军医大学,,,184
24,前25%,吉林大学,,,180
25,前25%,首都医科大学,,,173
26,前25%,第四军医大学,,,172
27,前25%,华东理工大学,,,164
28,前25%,兰州大学,,,161
29,前25%,郑州大学,,,144
30,前25%,南方医科大学,,,136
31,前25%,温州医科大学,,,129
32,前25%,东南大学,,,128
33,前25%,上海中医药大学,,,116
34,前25%,安徽医科大学,,,114
35,前25%,中国医科大学,,,109
36,前50%,天津医科大学,,,102
37,前50%,南开大学,,,99
38,前50%,同济大学,,,98
39,前50%,河北医科大学,,,88
39,前50%,厦门大学,,,88
41,前50%,重庆医科大学,,,86
42,前50%,大连医科大学,,,78
43,前50%,广州医科大学,,,73
44,前50%,北京中医药大学,,,68
45,前50%,徐州医科大学,,,65
46,前50%,西南大学,,,60
47,前50%,福建医科大学,,,55
47,前50%,江苏大学,,,55
49,前50%,天津大学,,,53
50,前50%,广州中医药大学,,,50
50,前50%,南通大学,,,50
52,前50%,华东师范大学,,,49
52,前50%,江南大学,,,49
54,前50%,青岛大学,,,47
55,前50%,广东药科大学,,,43
56,前50%,广东医科大学,,,41
56,前50%,广西医科大学,,,41
56,前50%,南昌大学,,,41
59,前50%,烟台大学,,,39
60,前50%,延边大学,,,38
61,前50%,大连理工大学,,,36
61,前50%,中南民族大学,,,36
63,前50%,天津中医药大学,,,35
64,前50%,浙江中医药大学,,,33
65,前50%,云南大学,,,32
66,前50%,山西医科大学,,,31
67,前50%,昆明医科大学,,,30
68,前50%,河南大学,,,27
68,前50%,江西中医药大学,,,27
70,前50%,锦州医科大学,,,26
71,前50%,宁夏医科大学,,,25
