2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前1%,北京协和医学院,,,1094
2,3,前5%,中国药科大学,,,1054
3,1,前5%,北京大学,,,916
4,5,前5%,浙江大学,,,740
5,10,前5%,中山大学,,,654
6,6,前5%,四川大学,,,639
7,4,前5%,复旦大学,,,621
8,9,前10%,海军军医大学,,,538
9,8,前10%,沈阳药科大学,,,471
10,7,前10%,上海交通大学,,,434
11,11,前10%,中南大学,,,412
12,12,前10%,山东大学,,,390
13,14,前10%,南京大学,,,359
14,13,前10%,华中科技大学,,,352
15,15,前25%,哈尔滨医科大学,,,313
16,16,前25%,苏州大学,,,259
17,26,前25%,空军军医大学,,,250
18,17,前25%,暨南大学,,,245
19,19,前25%,南京医科大学,,,231
20,22,前25%,南京中医药大学,,,225
21,21,前25%,中国海洋大学,,,207
22,27,前25%,华东理工大学,,,205
23,18,前25%,武汉大学,,,194
24,24,前25%,吉林大学,,,182
25,25,前25%,首都医科大学,,,169
26,31,前25%,温州医科大学,,,167
27,29,前25%,郑州大学,,,166
28,23,前25%,陆军军医大学,,,164
29,20,前25%,西安交通大学,,,160
30,28,前25%,兰州大学,,,154
31,30,前25%,南方医科大学,,,146
32,46,前25%,西南大学,,,144
33,33,前25%,上海中医药大学,,,122
34,35,前25%,中国医科大学,,,118
35,34,前25%,安徽医科大学,,,101
36,37,前25%,南开大学,,,99
37,32,前50%,东南大学,,,98
38,38,前50%,同济大学,,,95
39,42,前50%,大连医科大学,,,94
40,36,前50%,天津医科大学,,,92
41,41,前50%,重庆医科大学,,,88
42,43,前50%,广州医科大学,,,85
43,39,前50%,河北医科大学,,,84
44,39,前50%,厦门大学,,,83
45,44,前50%,北京中医药大学,,,79
46,50,前50%,广州中医药大学,,,76
47,45,前50%,徐州医科大学,,,72
48,54,前50%,青岛大学,,,62
49,47,前50%,江苏大学,,,60
49,,前50%,西北农林科技大学,,,60
51,50,前50%,南通大学,,,59
52,52,前50%,华东师范大学,,,56
53,47,前50%,福建医科大学,,,52
53,56,前50%,南昌大学,,,52
55,49,前50%,天津大学,,,49
56,55,前50%,广东药科大学,,,48
57,61,前50%,大连理工大学,,,47
58,63,前50%,天津中医药大学,,,41
59,64,前50%,浙江中医药大学,,,40
60,59,前50%,烟台大学,,,37
61,56,前50%,广西医科大学,,,36
61,52,前50%,江南大学,,,36
63,61,前50%,中南民族大学,,,35
64,68,前50%,河南大学,,,34
65,,前50%,济南大学,,,32
65,,前50%,新乡医学院,,,32
67,68,前50%,江西中医药大学,,,31
67,67,前50%,昆明医科大学,,,31
69,56,前50%,广东医科大学,,,30
70,66,前50%,山西医科大学,,,29
70,65,前50%,云南大学,,,29
70,,前50%,浙江工业大学,,,29
73,70,前50%,锦州医科大学,,,28
