排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,东北师范大学,,,959
2,前5%,南开大学,,,731
3,前5%,北京大学,,,723
4,前10%,首都师范大学,,,478
5,前10%,南京大学,,,464
6,前10%,武汉大学,,,462
7,前25%,华东师范大学,,,426
8,前25%,上海师范大学,,,404
9,前25%,复旦大学,,,387
10,前25%,陕西师范大学,,,383
11,前25%,西北大学,,,371
12,前25%,中国人民大学,,,270
13,前25%,天津师范大学,,,266
14,前25%,浙江大学,,,264
15,前25%,福建师范大学,,,262
16,前25%,四川大学,,,229
17,前25%,厦门大学,,,222
18,前50%,吉林大学,,,199
19,前50%,清华大学,,,185
20,前50%,上海大学,,,174
21,前50%,北京师范大学,,,161
22,前50%,暨南大学,,,159
23,前50%,中山大学,,,149
24,前50%,山东大学,,,140
25,前50%,华中师范大学,,,133
26,前50%,河南大学,,,127
27,前50%,西南大学,,,124
28,前50%,浙江师范大学,,,121
29,前50%,郑州大学,,,101
30,前50%,华南师范大学,,,97
31,前50%,山西师范大学,,,88
32,前50%,江西师范大学,,,77
33,前50%,辽宁大学,,,76
34,前50%,南京师范大学,,,69
34,前50%,山东师范大学,,,69
