2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,东北师范大学,,,948
2,2,前5%,南开大学,,,623
3,3,前5%,北京大学,,,608
4,8,前10%,上海师范大学,,,498
5,6,前10%,武汉大学,,,481
6,10,前10%,陕西师范大学,,,461
7,5,前10%,南京大学,,,449
8,9,前25%,复旦大学,,,441
9,4,前25%,首都师范大学,,,424
10,7,前25%,华东师范大学,,,415
11,11,前25%,西北大学,,,387
12,13,前25%,天津师范大学,,,292
13,16,前25%,四川大学,,,289
14,15,前25%,福建师范大学,,,272
15,12,前25%,中国人民大学,,,261
16,25,前25%,华中师范大学,,,249
17,21,前25%,北京师范大学,,,246
18,18,前50%,吉林大学,,,229
19,14,前50%,浙江大学,,,207
20,17,前50%,厦门大学,,,201
21,19,前50%,清华大学,,,197
22,23,前50%,中山大学,,,188
23,28,前50%,浙江师范大学,,,173
24,27,前50%,西南大学,,,163
25,22,前50%,暨南大学,,,149
26,24,前50%,山东大学,,,143
27,26,前50%,河南大学,,,126
27,20,前50%,上海大学,,,126
29,30,前50%,华南师范大学,,,120
30,29,前50%,郑州大学,,,118
31,,前50%,江苏师范大学,,,108
32,,前50%,黑龙江大学,,,98
33,31,前50%,山西师范大学,,,93
34,34,前50%,山东师范大学,,,92
35,33,前50%,辽宁大学,,,86
