排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京大学,,,865
2,前5%,北京师范大学,,,632
3,前5%,复旦大学,,,631
4,前5%,南开大学,,,627
5,前5%,武汉大学,,,607
6,前10%,华中师范大学,,,605
7,前10%,中国人民大学,,,585
8,前10%,南京大学,,,478
9,前10%,四川大学,,,476
10,前10%,陕西师范大学,,,467
11,前10%,中山大学,,,456
12,前25%,清华大学,,,427
13,前25%,华东师范大学,,,391
14,前25%,首都师范大学,,,377
15,前25%,东北师范大学,,,375
16,前25%,河北大学,,,349
17,前25%,吉林大学,,,306
18,前25%,西南大学,,,303
19,前25%,上海师范大学,,,285
20,前25%,山东大学,,,279
21,前25%,云南大学,,,275
22,前25%,厦门大学,,,273
23,前25%,暨南大学,,,267
24,前25%,山西大学,,,253
25,前25%,湖南师范大学,,,242
26,前25%,兰州大学,,,234
27,前25%,河南大学,,,228
28,前25%,浙江大学,,,203
29,前25%,湖南大学,,,200
30,前50%,安徽大学,,,196
31,前50%,上海大学,,,172
32,前50%,郑州大学,,,162
33,前50%,华南师范大学,,,155
34,前50%,南京师范大学,,,154
35,前50%,河北师范大学,,,153
36,前50%,江西师范大学,,,151
37,前50%,安徽师范大学,,,140
38,前50%,上海交通大学,,,135
39,前50%,西北大学,,,134
40,前50%,山东师范大学,,,133
41,前50%,内蒙古大学,,,120
42,前50%,山西师范大学,,,109
43,前50%,福建师范大学,,,104
43,前50%,西北师范大学,,,104
45,前50%,天津师范大学,,,102
45,前50%,中央民族大学,,,102
47,前50%,吉林师范大学,,,99
48,前50%,杭州师范大学,,,97
48,前50%,苏州大学,,,97
50,前50%,南昌大学,,,95
51,前50%,曲阜师范大学,,,94
52,前50%,聊城大学,,,93
53,前50%,湖北大学,,,84
53,前50%,浙江师范大学,,,84
55,前50%,宁夏大学,,,80
56,前50%,四川师范大学,,,75
57,前50%,辽宁大学,,,73
58,前50%,赣南师范大学,,,69
59,前50%,黑龙江大学,,,68
