2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京大学,,,879
2,9,前5%,四川大学,,,700
3,2,前5%,北京师范大学,,,679
4,3,前5%,复旦大学,,,630
5,4,前5%,南开大学,,,608
6,6,前5%,华中师范大学,,,590
7,7,前10%,中国人民大学,,,557
8,5,前10%,武汉大学,,,549
9,11,前10%,中山大学,,,518
10,12,前10%,清华大学,,,515
11,10,前10%,陕西师范大学,,,461
12,8,前10%,南京大学,,,452
13,15,前25%,东北师范大学,,,422
14,13,前25%,华东师范大学,,,412
15,21,前25%,云南大学,,,407
16,16,前25%,河北大学,,,378
17,17,前25%,吉林大学,,,377
18,14,前25%,首都师范大学,,,350
19,18,前25%,西南大学,,,332
20,22,前25%,厦门大学,,,330
21,20,前25%,山东大学,,,320
22,23,前25%,暨南大学,,,308
23,19,前25%,上海师范大学,,,301
24,28,前25%,浙江大学,,,295
25,27,前25%,河南大学,,,284
26,24,前25%,山西大学,,,279
27,29,前25%,湖南大学,,,262
28,30,前25%,安徽大学,,,251
29,25,前25%,湖南师范大学,,,242
30,41,前25%,内蒙古大学,,,227
31,39,前50%,西北大学,,,195
32,35,前50%,河北师范大学,,,188
33,37,前50%,安徽师范大学,,,183
34,32,前50%,郑州大学,,,181
35,31,前50%,上海大学,,,179
36,43,前50%,福建师范大学,,,168
37,38,前50%,上海交通大学,,,166
38,33,前50%,华南师范大学,,,163
39,40,前50%,山东师范大学,,,159
40,26,前50%,兰州大学,,,156
41,43,前50%,西北师范大学,,,153
42,36,前50%,江西师范大学,,,152
43,47,前50%,吉林师范大学,,,149
44,53,前50%,浙江师范大学,,,136
45,50,前50%,南昌大学,,,133
46,34,前50%,南京师范大学,,,123
47,51,前50%,曲阜师范大学,,,121
48,55,前50%,宁夏大学,,,117
48,45,前50%,天津师范大学,,,117
50,56,前50%,四川师范大学,,,115
51,48,前50%,杭州师范大学,,,113
52,45,前50%,中央民族大学,,,112
53,48,前50%,苏州大学,,,111
54,42,前50%,山西师范大学,,,109
55,,前50%,辽宁师范大学,,,99
56,,前50%,哈尔滨师范大学,,,97
57,,前50%,贵州师范大学,,,91
57,,前50%,河南师范大学,,,91
59,53,前50%,湖北大学,,,87
60,52,前50%,聊城大学,,,82
61,,前50%,江苏师范大学,,,81
