排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,中国人民大学,,,1250
2,前5%,北京大学,,,1039
3,前5%,复旦大学,,,886
4,前5%,武汉大学,,,830
5,前5%,南京大学,,,718
6,前5%,中山大学,,,620
7,前5%,华东师范大学,,,539
8,前5%,北京师范大学,,,470
9,前10%,清华大学,,,446
10,前10%,四川大学,,,411
11,前10%,吉林大学,,,397
12,前10%,山东大学,,,356
13,前10%,浙江大学,,,336
14,前10%,黑龙江大学,,,331
15,前10%,南开大学,,,321
16,前10%,东南大学,,,319
17,前25%,山西大学,,,307
18,前25%,厦门大学,,,200
18,前25%,同济大学,,,200
20,前25%,陕西师范大学,,,196
20,前25%,西安交通大学,,,196
22,前25%,华中科技大学,,,179
23,前25%,西南大学,,,162
24,前25%,中南大学,,,141
25,前25%,上海师范大学,,,140
26,前25%,华南师范大学,,,138
27,前25%,首都师范大学,,,137
28,前25%,湖南师范大学,,,132
29,前25%,浙江师范大学,,,131
30,前25%,上海大学,,,128
31,前25%,华中师范大学,,,127
31,前25%,上海交通大学,,,127
33,前25%,兰州大学,,,122
34,前25%,中央民族大学,,,118
35,前25%,湖南大学,,,116
36,前25%,南京师范大学,,,113
37,前25%,华侨大学,,,112
38,前25%,扬州大学,,,105
39,前25%,河南大学,,,102
39,前25%,上海财经大学,,,102
41,前25%,云南民族大学,,,98
42,前50%,东北师范大学,,,97
42,前50%,湖北大学,,,97
44,前50%,西南民族大学,,,95
45,前50%,东北大学,,,93
46,前50%,大连理工大学,,,91
47,前50%,四川师范大学,,,87
47,前50%,中南财经政法大学,,,87
49,前50%,福建师范大学,,,82
50,前50%,江西师范大学,,,81
50,前50%,南昌大学,,,81
52,前50%,安徽大学,,,80
52,前50%,江苏师范大学,,,80
52,前50%,苏州大学,,,80
52,前50%,西北大学,,,80
56,前50%,安徽师范大学,,,78
57,前50%,杭州师范大学,,,75
58,前50%,吉首大学,,,72
58,前50%,长沙理工大学,,,72
60,前50%,辽宁大学,,,71
60,前50%,宁夏大学,,,71
62,前50%,河北大学,,,67
62,前50%,曲阜师范大学,,,67
64,前50%,郑州大学,,,62
65,前50%,贵州大学,,,59
66,前50%,暨南大学,,,55
66,前50%,昆明理工大学,,,55
66,前50%,云南大学,,,55
69,前50%,河海大学,,,53
69,前50%,青海师范大学,,,53
71,前50%,湖南科技大学,,,52
71,前50%,吉林师范大学,,,52
73,前50%,河南师范大学,,,51
73,前50%,湘潭大学,,,51
75,前50%,河北经贸大学,,,49
75,前50%,深圳大学,,,49
75,前50%,西北民族大学,,,49
78,前50%,贵州师范大学,,,48
79,前50%,新疆师范大学,,,47
80,前50%,河北师范大学,,,46
81,前50%,广西大学,,,43
82,前50%,广州大学,,,41
