2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,中国人民大学,,,1222
2,2,前5%,北京大学,,,1088
3,3,前5%,复旦大学,,,959
4,4,前5%,武汉大学,,,885
5,6,前5%,中山大学,,,740
6,5,前5%,南京大学,,,706
7,7,前5%,华东师范大学,,,582
8,8,前10%,北京师范大学,,,524
9,10,前10%,四川大学,,,489
10,9,前10%,清华大学,,,481
11,13,前10%,浙江大学,,,457
12,12,前10%,山东大学,,,419
13,15,前10%,南开大学,,,365
14,14,前10%,黑龙江大学,,,361
15,11,前10%,吉林大学,,,347
16,17,前25%,山西大学,,,316
17,16,前25%,东南大学,,,307
18,18,前25%,厦门大学,,,270
19,20,前25%,陕西师范大学,,,262
20,18,前25%,同济大学,,,227
21,25,前25%,上海师范大学,,,223
22,20,前25%,西安交通大学,,,218
23,37,前25%,华侨大学,,,181
24,28,前25%,湖南师范大学,,,180
24,26,前25%,华南师范大学,,,180
26,35,前25%,湖南大学,,,176
27,27,前25%,首都师范大学,,,166
28,30,前25%,上海大学,,,162
29,22,前25%,华中科技大学,,,158
30,24,前25%,中南大学,,,153
31,31,前25%,上海交通大学,,,150
31,23,前25%,西南大学,,,150
33,39,前25%,河南大学,,,140
34,38,前25%,扬州大学,,,136
35,52,前25%,西北大学,,,132
36,42,前25%,湖北大学,,,129
36,31,前25%,华中师范大学,,,129
38,36,前25%,南京师范大学,,,122
39,50,前25%,南昌大学,,,121
40,34,前50%,中央民族大学,,,116
41,44,前50%,西南民族大学,,,110
42,33,前50%,兰州大学,,,108
43,75,前50%,深圳大学,,,103
44,47,前50%,四川师范大学,,,101
45,45,前50%,东北大学,,,99
46,39,前50%,上海财经大学,,,96
47,52,前50%,江苏师范大学,,,93
48,66,前50%,云南大学,,,92
48,,前50%,中国政法大学,,,92
50,58,前50%,长沙理工大学,,,91
51,42,前50%,东北师范大学,,,90
52,52,前50%,安徽大学,,,87
53,62,前50%,河北大学,,,86
54,73,前50%,湘潭大学,,,85
55,52,前50%,苏州大学,,,84
56,47,前50%,中南财经政法大学,,,79
57,62,前50%,曲阜师范大学,,,78
58,60,前50%,辽宁大学,,,74
59,71,前50%,湖南科技大学,,,73
60,46,前50%,大连理工大学,,,68
60,64,前50%,郑州大学,,,68
62,78,前50%,贵州师范大学,,,67
62,57,前50%,杭州师范大学,,,67
64,58,前50%,吉首大学,,,66
65,65,前50%,贵州大学,,,65
66,56,前50%,安徽师范大学,,,63
66,50,前50%,江西师范大学,,,63
68,60,前50%,宁夏大学,,,60
69,,前50%,内蒙古师范大学,,,59
70,,前50%,青海民族大学,,,57
70,69,前50%,青海师范大学,,,57
70,,前50%,山东师范大学,,,57
70,,前50%,云南师范大学,,,57
74,,前50%,华南理工大学,,,56
74,71,前50%,吉林师范大学,,,56
76,66,前50%,暨南大学,,,53
76,,前50%,浙江工业大学,,,53
78,,前50%,山西师范大学,,,51
78,,前50%,苏州科技大学,,,51
78,,前50%,西藏民族大学,,,51
78,,前50%,西南政法大学,,,51
