排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,西南交通大学,,,1097
2,前5%,同济大学,,,787
3,前5%,北京交通大学,,,648
4,前10%,东南大学,,,601
5,前10%,北京航空航天大学,,,561
6,前10%,长沙理工大学,,,460
7,前25%,武汉理工大学,,,439
8,前25%,上海交通大学,,,393
9,前25%,长安大学,,,360
10,前25%,清华大学,,,312
11,前25%,大连海事大学,,,280
12,前25%,哈尔滨工业大学,,,248
13,前25%,中南大学,,,244
14,前25%,中国民航大学,,,214
15,前25%,吉林大学,,,130
16,前50%,大连理工大学,,,126
17,前50%,北京工业大学,,,80
18,前50%,华南理工大学,,,79
19,前50%,西北工业大学,,,75
20,前50%,重庆交通大学,,,58
21,前50%,湖南大学,,,56
22,前50%,石家庄铁道大学,,,55
23,前50%,合肥工业大学,,,51
24,前50%,上海海事大学,,,50
25,前50%,西安电子科技大学,,,43
26,前50%,河海大学,,,39
27,前50%,中山大学,,,32
28,前50%,山东大学,,,30
29,前50%,北京建筑大学,,,28
30,前50%,南京航空航天大学,,,27
30,前50%,郑州大学,,,27
