2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,3,前5%,北京交通大学,,,1060
2,1,前5%,西南交通大学,,,1014
3,2,前5%,同济大学,,,811
4,5,前10%,北京航空航天大学,,,528
5,4,前10%,东南大学,,,524
6,6,前10%,长沙理工大学,,,333
7,7,前25%,武汉理工大学,,,315
8,10,前25%,清华大学,,,306
9,8,前25%,上海交通大学,,,296
10,13,前25%,中南大学,,,267
11,9,前25%,长安大学,,,252
12,12,前25%,哈尔滨工业大学,,,220
13,11,前25%,大连海事大学,,,155
14,16,前25%,大连理工大学,,,125
15,22,前25%,石家庄铁道大学,,,108
16,14,前25%,中国民航大学,,,102
17,19,前25%,西北工业大学,,,91
18,15,前50%,吉林大学,,,87
19,18,前50%,华南理工大学,,,79
20,17,前50%,北京工业大学,,,76
21,24,前50%,上海海事大学,,,74
22,27,前50%,中山大学,,,68
23,21,前50%,湖南大学,,,61
24,23,前50%,合肥工业大学,,,58
25,20,前50%,重庆交通大学,,,57
26,25,前50%,西安电子科技大学,,,48
27,30,前50%,南京航空航天大学,,,40
28,26,前50%,河海大学,,,34
29,29,前50%,北京建筑大学,,,31
30,,前50%,重庆大学,,,29
31,,前50%,华东交通大学,,,28
31,,前50%,宁波大学,,,28
31,30,前50%,郑州大学,,,28
34,,前50%,上海理工大学,,,26
