排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,北京航空航天大学,,,1076
2,前5%,清华大学,,,807
3,前5%,东南大学,,,606
4,前5%,哈尔滨工业大学,,,482
5,前10%,天津大学,,,474
6,前10%,重庆大学,,,447
7,前10%,西安电子科技大学,,,371
8,前10%,西安交通大学,,,354
9,前25%,中北大学,,,340
10,前25%,大连理工大学,,,266
11,前25%,电子科技大学,,,265
12,前25%,上海交通大学,,,243
13,前25%,北京理工大学,,,214
14,前25%,中国科学技术大学,,,207
15,前25%,吉林大学,,,203
16,前25%,南京航空航天大学,,,161
17,前25%,武汉大学,,,139
18,前25%,国防科学技术大学,,,130
19,前25%,南京理工大学,,,77
20,前25%,西北工业大学,,,70
21,前50%,哈尔滨工程大学,,,68
22,前50%,厦门大学,,,62
22,前50%,四川大学,,,62
24,前50%,上海大学,,,61
25,前50%,合肥工业大学,,,56
25,前50%,中国计量大学,,,56
27,前50%,北京科技大学,,,52
28,前50%,武汉理工大学,,,46
29,前50%,广东工业大学,,,42
29,前50%,杭州电子科技大学,,,42
29,前50%,江苏大学,,,42
32,前50%,苏州大学,,,41
33,前50%,福州大学,,,32
33,前50%,中国矿业大学,,,32
35,前50%,北京工业大学,,,31
36,前50%,中国石油大学（华东）,,,30
37,前50%,燕山大学,,,28
38,前50%,河海大学,,,25
39,前50%,南京邮电大学,,,24
39,前50%,上海理工大学,,,24
