2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,北京航空航天大学,,,1220
2,2,前5%,清华大学,,,733
3,4,前5%,哈尔滨工业大学,,,683
4,5,前5%,天津大学,,,642
5,8,前10%,西安交通大学,,,602
6,3,前10%,东南大学,,,567
7,12,前10%,上海交通大学,,,343
8,15,前10%,吉林大学,,,319
9,13,前25%,北京理工大学,,,297
10,6,前25%,重庆大学,,,293
11,9,前25%,中北大学,,,259
12,10,前25%,大连理工大学,,,251
13,11,前25%,电子科技大学,,,234
14,14,前25%,中国科学技术大学,,,198
15,16,前25%,南京航空航天大学,,,173
16,17,前25%,武汉大学,,,169
17,7,前25%,西安电子科技大学,,,158
18,18,前25%,国防科学技术大学,,,130
19,20,前25%,西北工业大学,,,118
20,19,前25%,南京理工大学,,,111
21,21,前25%,哈尔滨工程大学,,,100
22,25,前50%,合肥工业大学,,,82
22,22,前50%,厦门大学,,,82
24,27,前50%,北京科技大学,,,72
24,29,前50%,杭州电子科技大学,,,72
26,24,前50%,上海大学,,,68
27,28,前50%,武汉理工大学,,,67
28,22,前50%,四川大学,,,62
29,29,前50%,江苏大学,,,52
30,33,前50%,中国矿业大学,,,51
31,32,前50%,苏州大学,,,46
32,35,前50%,北京工业大学,,,41
33,33,前50%,福州大学,,,40
34,38,前50%,河海大学,,,39
34,37,前50%,燕山大学,,,39
34,36,前50%,中国石油大学（华东）,,,39
37,25,前50%,中国计量大学,,,38
38,29,前50%,广东工业大学,,,37
39,39,前50%,南京邮电大学,,,35
40,,前50%,太原理工大学,,,29
41,39,前50%,上海理工大学,,,27
42,,前50%,哈尔滨理工大学,,,25
