排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1254
2,前5%,西安电子科技大学,,,931
3,前5%,北京邮电大学,,,822
4,前5%,电子科技大学,,,723
5,前5%,上海交通大学,,,604
6,前5%,东南大学,,,445
7,前5%,国防科学技术大学,,,444
8,前5%,浙江大学,,,410
9,前10%,北京交通大学,,,370
10,前10%,华中科技大学,,,341
11,前10%,北京航空航天大学,,,321
12,前10%,中国科学技术大学,,,303
13,前10%,北京大学,,,270
14,前10%,哈尔滨工业大学,,,265
15,前10%,北京理工大学,,,251
16,前10%,南京邮电大学,,,226
17,前10%,西南交通大学,,,215
18,前25%,武汉大学,,,198
19,前25%,解放军信息工程大学,,,197
20,前25%,合肥工业大学,,,156
21,前25%,解放军理工大学,,,153
22,前25%,天津大学,,,152
23,前25%,华南理工大学,,,150
23,前25%,西北工业大学,,,150
25,前25%,苏州大学,,,149
25,前25%,重庆大学,,,149
27,前25%,上海科技大学,,,145
28,前25%,西安交通大学,,,142
29,前25%,哈尔滨工程大学,,,138
30,前25%,上海大学,,,129
31,前25%,海军航空工程学院,,,124
32,前25%,南京航空航天大学,,,123
33,前25%,深圳大学,,,121
34,前25%,空军预警学院,,,114
35,前25%,南京大学,,,109
35,前25%,南京理工大学,,,109
37,前25%,解放军电子工程学院,,,105
38,前25%,山东大学,,,101
39,前25%,宁波大学,,,97
40,前25%,同济大学,,,95
41,前25%,中山大学,,,92
42,前25%,复旦大学,,,88
43,前25%,北京科技大学,,,76
44,前25%,杭州电子科技大学,,,73
44,前25%,重庆邮电大学,,,73
46,前50%,东北大学,,,70
47,前50%,大连理工大学,,,67
48,前50%,空军工程大学,,,66
49,前50%,北京工业大学,,,58
50,前50%,厦门大学,,,56
51,前50%,湖南大学,,,50
52,前50%,广东工业大学,,,41
53,前50%,河海大学,,,40
54,前50%,吉林大学,,,39
55,前50%,华东师范大学,,,38
56,前50%,南京信息工程大学,,,35
57,前50%,大连海事大学,,,34
58,前50%,四川大学,,,32
59,前50%,桂林电子科技大学,,,29
59,前50%,中国民航大学,,,29
61,前50%,燕山大学,,,27
61,前50%,中南大学,,,27
63,前50%,浙江工业大学,,,26
64,前50%,暨南大学,,,24
64,前50%,武汉理工大学,,,24
66,前50%,华北电力大学,,,23
66,前50%,南通大学,,,23
68,前50%,中国传媒大学,,,22
69,前50%,西安邮电大学,,,20
69,前50%,中国地质大学（武汉）,,,20
71,前50%,福州大学,,,19
71,前50%,西南大学,,,19
71,前50%,中国石油大学（华东）,,,19
74,前50%,南开大学,,,18
74,前50%,郑州大学,,,18
76,前50%,安徽大学,,,17
76,前50%,西安理工大学,,,17
78,前50%,北京师范大学,,,16
78,前50%,北京信息科技大学,,,16
78,前50%,东华大学,,,16
78,前50%,中南民族大学,,,16
82,前50%,首都师范大学,,,15
82,前50%,天津师范大学,,,15
84,前50%,海军工程大学,,,14
84,前50%,江苏大学,,,14
84,前50%,长安大学,,,14
84,前50%,中国计量大学,,,14
84,前50%,中国矿业大学,,,14
89,前50%,黑龙江大学,,,13
89,前50%,华侨大学,,,13
89,前50%,浙江工商大学,,,13
89,前50%,中国海洋大学,,,13
