2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,清华大学,,,1189
2,2,前5%,西安电子科技大学,,,991
3,3,前5%,北京邮电大学,,,757
4,4,前5%,电子科技大学,,,672
4,5,前5%,上海交通大学,,,672
6,8,前5%,浙江大学,,,440
7,6,前5%,东南大学,,,428
8,9,前5%,北京交通大学,,,411
9,12,前5%,中国科学技术大学,,,398
10,15,前10%,北京理工大学,,,346
11,10,前10%,华中科技大学,,,337
12,7,前10%,国防科学技术大学,,,312
13,14,前10%,哈尔滨工业大学,,,284
14,13,前10%,北京大学,,,238
15,16,前10%,南京邮电大学,,,235
16,23,前10%,西北工业大学,,,219
17,17,前10%,西南交通大学,,,200
18,11,前10%,北京航空航天大学,,,187
19,31,前10%,海军航空大学,,,185
20,19,前25%,战略支援部队信息工程大学,,,183
21,20,前25%,合肥工业大学,,,176
22,18,前25%,武汉大学,,,158
23,22,前25%,天津大学,,,153
24,30,前25%,上海大学,,,150
25,33,前25%,深圳大学,,,148
26,21,前25%,陆军工程大学,,,145
27,29,前25%,哈尔滨工程大学,,,139
28,23,前25%,华南理工大学,,,138
29,28,前25%,西安交通大学,,,136
30,47,前25%,大连理工大学,,,126
31,32,前25%,南京航空航天大学,,,123
32,25,前25%,苏州大学,,,121
33,34,前25%,空军预警学院,,,112
34,35,前25%,南京理工大学,,,111
34,39,前25%,宁波大学,,,111
36,44,前25%,重庆邮电大学,,,101
37,41,前25%,中山大学,,,98
38,35,前25%,南京大学,,,95
39,38,前25%,山东大学,,,93
40,43,前25%,北京科技大学,,,91
41,40,前25%,同济大学,,,89
42,46,前25%,东北大学,,,85
43,42,前25%,复旦大学,,,84
44,54,前25%,吉林大学,,,82
45,44,前25%,杭州电子科技大学,,,78
46,48,前25%,空军工程大学,,,75
47,84,前25%,中国矿业大学,,,71
48,50,前25%,厦门大学,,,65
49,49,前50%,北京工业大学,,,58
49,56,前50%,南京信息工程大学,,,58
51,53,前50%,河海大学,,,55
52,25,前50%,重庆大学,,,54
53,51,前50%,湖南大学,,,52
54,52,前50%,广东工业大学,,,50
55,27,前50%,上海科技大学,,,46
56,55,前50%,华东师范大学,,,43
57,61,前50%,中南大学,,,41
58,59,前50%,桂林电子科技大学,,,40
59,64,前50%,武汉理工大学,,,39
60,63,前50%,浙江工业大学,,,38
61,71,前50%,福州大学,,,36
61,58,前50%,四川大学,,,36
63,61,前50%,燕山大学,,,32
64,69,前50%,中国地质大学（武汉）,,,31
65,89,前50%,中国海洋大学,,,30
66,64,前50%,暨南大学,,,29
67,66,前50%,华北电力大学,,,27
67,66,前50%,南通大学,,,27
67,59,前50%,中国民航大学,,,27
70,82,前50%,天津师范大学,,,26
70,76,前50%,西安理工大学,,,26
70,71,前50%,西南大学,,,26
73,57,前50%,大连海事大学,,,25
73,,前50%,陕西师范大学,,,25
75,74,前50%,南开大学,,,24
75,,前50%,西北大学,,,24
77,89,前50%,浙江工商大学,,,21
77,68,前50%,中国传媒大学,,,21
77,71,前50%,中国石油大学（华东）,,,21
80,74,前50%,郑州大学,,,20
81,,前50%,广州大学,,,19
82,,前50%,太原理工大学,,,18
82,69,前50%,西安邮电大学,,,18
84,76,前50%,安徽大学,,,17
84,78,前50%,北京师范大学,,,17
84,,前50%,福建师范大学,,,17
84,84,前50%,江苏大学,,,17
84,84,前50%,海军工程大学,,,17
89,78,前50%,中南民族大学,,,16
90,,前50%,北京化工大学,,,15
90,78,前50%,东华大学,,,15
90,89,前50%,华侨大学,,,15
90,82,前50%,首都师范大学,,,15
90,,前50%,天津工业大学,,,15
95,,前50%,上海海事大学,,,14
95,,前50%,武汉科技大学,,,14
95,,前50%,西南科技大学,,,14
95,84,前50%,长安大学,,,14
95,,前50%,浙江理工大学,,,14
