2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,中国农业大学,,,1372
2,2,前5%,浙江大学,,,839
3,5,前10%,华南农业大学,,,716
4,4,前10%,西北农林科技大学,,,464
5,3,前10%,吉林大学,,,449
6,6,前25%,南京农业大学,,,218
7,20,前25%,青岛农业大学,,,214
8,8,前25%,江苏大学,,,198
9,9,前25%,华中农业大学,,,191
10,16,前25%,东北农业大学,,,143
11,10,前25%,南京林业大学,,,138
12,7,前25%,石河子大学,,,111
13,11,前50%,东北林业大学,,,100
14,14,前50%,河南农业大学,,,85
15,16,前50%,沈阳农业大学,,,76
16,12,前50%,四川大学,,,71
17,18,前50%,福建农林大学,,,61
17,,前50%,西南大学,,,61
19,15,前50%,安徽农业大学,,,46
20,21,前50%,湖南农业大学,,,44
21,,前50%,太原理工大学,,,43
22,,前50%,江西农业大学,,,42
23,24,前50%,河海大学,,,39
24,22,前50%,山东农业大学,,,38
25,19,前50%,山东理工大学,,,37
