排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,西安交通大学,,,1019
2,前5%,北京大学,,,894
3,前5%,清华大学,,,866
4,前5%,哈尔滨工业大学,,,778
5,前5%,南京航空航天大学,,,723
6,前10%,大连理工大学,,,709
7,前10%,北京航空航天大学,,,681
8,前10%,上海交通大学,,,627
9,前10%,北京理工大学,,,615
10,前10%,浙江大学,,,512
11,前25%,西北工业大学,,,471
12,前25%,中国科学技术大学,,,388
13,前25%,华中科技大学,,,308
14,前25%,天津大学,,,281
15,前25%,上海大学,,,271
16,前25%,重庆大学,,,242
17,前25%,同济大学,,,239
18,前25%,中国矿业大学,,,226
19,前25%,湖南大学,,,205
20,前25%,北京工业大学,,,182
21,前25%,宁波大学,,,181
22,前25%,华南理工大学,,,172
23,前25%,北京交通大学,,,166
24,前25%,东南大学,,,164
25,前25%,西安电子科技大学,,,162
26,前25%,国防科学技术大学,,,160
27,前50%,西南交通大学,,,142
28,前50%,南京理工大学,,,138
29,前50%,四川大学,,,134
30,前50%,河海大学,,,132
31,前50%,江苏大学,,,120
32,前50%,兰州大学,,,106
33,前50%,哈尔滨工程大学,,,102
34,前50%,中山大学,,,93
35,前50%,东北大学,,,90
35,前50%,山东大学,,,90
35,前50%,中南大学,,,90
38,前50%,太原理工大学,,,85
38,前50%,武汉大学,,,85
40,前50%,暨南大学,,,80
41,前50%,湘潭大学,,,76
42,前50%,华东理工大学,,,71
43,前50%,北京科技大学,,,70
44,前50%,吉林大学,,,69
45,前50%,武汉理工大学,,,66
46,前50%,沈阳航空航天大学,,,58
46,前50%,石家庄铁道大学,,,58
46,前50%,郑州大学,,,58
49,前50%,厦门大学,,,55
50,前50%,上海理工大学,,,49
51,前50%,合肥工业大学,,,47
51,前50%,中国石油大学（北京）,,,47
53,前50%,复旦大学,,,45
