2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前1%,北京大学,,,1042
2,4,前5%,哈尔滨工业大学,,,870
3,1,前5%,西安交通大学,,,853
4,3,前5%,清华大学,,,852
5,7,前5%,北京航空航天大学,,,623
6,5,前10%,南京航空航天大学,,,586
7,6,前10%,大连理工大学,,,583
8,8,前10%,上海交通大学,,,520
9,9,前10%,北京理工大学,,,501
10,11,前10%,西北工业大学,,,458
11,10,前25%,浙江大学,,,432
12,12,前25%,中国科学技术大学,,,341
13,13,前25%,华中科技大学,,,298
14,14,前25%,天津大学,,,284
15,17,前25%,同济大学,,,226
16,16,前25%,重庆大学,,,212
17,20,前25%,北京工业大学,,,209
18,19,前25%,湖南大学,,,187
19,15,前25%,上海大学,,,170
20,22,前25%,华南理工大学,,,166
21,23,前25%,北京交通大学,,,165
22,24,前25%,东南大学,,,151
22,27,前25%,西南交通大学,,,151
24,28,前25%,南京理工大学,,,145
25,25,前25%,西安电子科技大学,,,142
26,18,前50%,中国矿业大学,,,127
27,30,前50%,河海大学,,,123
28,26,前50%,国防科学技术大学,,,121
29,29,前50%,四川大学,,,117
30,31,前50%,江苏大学,,,113
31,33,前50%,哈尔滨工程大学,,,106
32,38,前50%,太原理工大学,,,104
33,38,前50%,武汉大学,,,98
34,43,前50%,北京科技大学,,,93
35,35,前50%,中南大学,,,92
36,32,前50%,兰州大学,,,86
36,21,前50%,宁波大学,,,86
36,41,前50%,湘潭大学,,,86
39,35,前50%,东北大学,,,85
39,35,前50%,山东大学,,,85
41,,前50%,南方科技大学,,,81
41,34,前50%,中山大学,,,81
43,40,前50%,暨南大学,,,74
44,45,前50%,武汉理工大学,,,70
45,44,前50%,吉林大学,,,64
46,51,前50%,合肥工业大学,,,61
47,50,前50%,上海理工大学,,,59
48,49,前50%,厦门大学,,,56
49,51,前50%,中国石油大学（北京）,,,55
49,,前50%,中国石油大学（华东）,,,55
51,46,前50%,石家庄铁道大学,,,52
