排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,西安交通大学,,,1514
2,前5%,清华大学,,,1216
3,前5%,上海交通大学,,,981
4,前5%,浙江大学,,,875
5,前5%,华中科技大学,,,695
6,前10%,天津大学,,,497
7,前10%,华北电力大学,,,491
8,前10%,哈尔滨工业大学,,,452
9,前10%,东南大学,,,353
10,前10%,南京工业大学,,,270
11,前10%,华东理工大学,,,263
12,前25%,重庆大学,,,249
13,前25%,大连理工大学,,,239
14,前25%,中国科学技术大学,,,236
15,前25%,江苏大学,,,230
16,前25%,北京航空航天大学,,,193
17,前25%,华南理工大学,,,187
18,前25%,南京航空航天大学,,,185
19,前25%,北京科技大学,,,140
20,前25%,西北工业大学,,,122
21,前25%,北京理工大学,,,121
22,前25%,南京理工大学,,,119
23,前25%,山东大学,,,110
24,前25%,北京化工大学,,,108
25,前25%,上海理工大学,,,104
26,前25%,同济大学,,,89
27,前25%,北京工业大学,,,88
28,前50%,中国石油大学（北京）,,,86
29,前50%,哈尔滨工程大学,,,81
30,前50%,中南大学,,,78
31,前50%,中国矿业大学,,,60
32,前50%,东北大学,,,58
32,前50%,吉林大学,,,58
34,前50%,北京交通大学,,,57
35,前50%,武汉大学,,,53
35,前50%,中国石油大学（华东）,,,53
35,前50%,中山大学,,,53
38,前50%,武汉理工大学,,,52
39,前50%,海军工程大学,,,49
40,前50%,大连海事大学,,,45
41,前50%,广东工业大学,,,42
41,前50%,中国矿业大学（北京）,,,42
43,前50%,四川大学,,,41
44,前50%,兰州交通大学,,,34
45,前50%,郑州大学,,,31
46,前50%,太原理工大学,,,28
47,前50%,河海大学,,,26
47,前50%,浙江理工大学,,,26
49,前50%,兰州理工大学,,,25
49,前50%,青岛科技大学,,,25
51,前50%,东北电力大学,,,24
52,前50%,安徽工业大学,,,23
53,前50%,南京大学,,,22
53,前50%,扬州大学,,,22
55,前50%,沈阳航空航天大学,,,21
