2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,西安交通大学,,,1248
2,2,前5%,清华大学,,,1219
3,4,前5%,浙江大学,,,902
4,3,前5%,上海交通大学,,,723
5,5,前5%,华中科技大学,,,491
6,6,前10%,天津大学,,,488
7,7,前10%,华北电力大学,,,408
8,8,前10%,哈尔滨工业大学,,,368
9,9,前10%,东南大学,,,304
10,12,前10%,重庆大学,,,265
11,13,前10%,大连理工大学,,,243
12,16,前25%,北京航空航天大学,,,207
13,14,前25%,中国科学技术大学,,,198
14,11,前25%,华东理工大学,,,176
15,17,前25%,华南理工大学,,,167
15,18,前25%,南京航空航天大学,,,167
17,15,前25%,江苏大学,,,151
18,10,前25%,南京工业大学,,,144
19,21,前25%,北京理工大学,,,130
20,20,前25%,西北工业大学,,,126
21,23,前25%,山东大学,,,112
22,22,前25%,南京理工大学,,,111
23,25,前25%,上海理工大学,,,109
24,31,前25%,中国矿业大学,,,98
25,26,前25%,同济大学,,,96
26,19,前25%,北京科技大学,,,92
27,24,前25%,北京化工大学,,,84
28,27,前25%,北京工业大学,,,83
29,29,前50%,哈尔滨工程大学,,,81
30,28,前50%,中国石油大学（北京）,,,77
31,30,前50%,中南大学,,,74
32,43,前50%,四川大学,,,67
33,32,前50%,东北大学,,,65
34,34,前50%,北京交通大学,,,63
34,35,前50%,中国石油大学（华东）,,,63
36,38,前50%,武汉理工大学,,,62
37,35,前50%,武汉大学,,,56
38,32,前50%,吉林大学,,,53
39,41,前50%,广东工业大学,,,51
40,35,前50%,中山大学,,,40
41,40,前50%,大连海事大学,,,37
42,,前50%,合肥工业大学,,,35
42,47,前50%,河海大学,,,35
44,46,前50%,太原理工大学,,,32
45,47,前50%,浙江理工大学,,,31
45,39,前50%,海军工程大学,,,31
47,51,前50%,东北电力大学,,,30
48,,前50%,南京师范大学,,,29
49,53,前50%,扬州大学,,,28
50,,前50%,西南石油大学,,,26
51,,前50%,昆明理工大学,,,25
52,45,前50%,郑州大学,,,24
53,49,前50%,兰州理工大学,,,23
53,,前50%,武汉科技大学,,,23
53,,前50%,浙江工业大学,,,23
56,49,前50%,青岛科技大学,,,21
56,,前50%,山东理工大学,,,21
56,41,前50%,中国矿业大学（北京）,,,21
