排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,天津大学,,,1227
2,前5%,华东理工大学,,,1126
3,前5%,浙江大学,,,1065
4,前5%,北京化工大学,,,1007
5,前5%,清华大学,,,869
6,前5%,南京工业大学,,,850
7,前5%,大连理工大学,,,810
8,前5%,华南理工大学,,,585
9,前5%,中国石油大学（北京）,,,416
10,前10%,哈尔滨工业大学,,,342
11,前10%,上海交通大学,,,316
12,前10%,浙江工业大学,,,294
13,前10%,四川大学,,,275
14,前10%,西安交通大学,,,259
15,前10%,中南大学,,,238
16,前10%,太原理工大学,,,211
17,前10%,中山大学,,,192
18,前10%,中国矿业大学,,,179
19,前10%,西北大学,,,173
20,前25%,苏州大学,,,170
21,前25%,厦门大学,,,156
22,前25%,中国石油大学（华东）,,,148
23,前25%,河北工业大学,,,147
24,前25%,江南大学,,,143
25,前25%,北京理工大学,,,137
26,前25%,东南大学,,,130
27,前25%,江苏大学,,,123
28,前25%,南京理工大学,,,122
29,前25%,郑州大学,,,109
30,前25%,重庆大学,,,106
31,前25%,福州大学,,,103
32,前25%,南京大学,,,93
32,前25%,上海应用技术大学,,,93
34,前25%,山东大学,,,92
35,前25%,北京工业大学,,,86
36,前25%,湘潭大学,,,79
37,前25%,天津工业大学,,,76
38,前25%,湖南大学,,,74
39,前25%,青岛科技大学,,,72
40,前25%,天津科技大学,,,69
41,前25%,吉林大学,,,66
42,前25%,北京科技大学,,,65
43,前25%,东北大学,,,58
43,前25%,西南石油大学,,,58
45,前25%,常州大学,,,55
46,前25%,东华大学,,,51
46,前25%,合肥工业大学,,,51
46,前25%,昆明理工大学,,,51
49,前50%,华北电力大学,,,50
50,前50%,陕西师范大学,,,48
51,前50%,西南大学,,,46
52,前50%,北京工商大学,,,45
52,前50%,兰州大学,,,45
52,前50%,武汉理工大学,,,45
55,前50%,苏州科技大学,,,41
55,前50%,武汉大学,,,41
57,前50%,浙江理工大学,,,40
58,前50%,广东工业大学,,,39
58,前50%,上海大学,,,39
60,前50%,北京航空航天大学,,,36
60,前50%,中国海洋大学,,,36
62,前50%,广西大学,,,33
62,前50%,齐鲁工业大学,,,33
64,前50%,中国矿业大学（北京）,,,32
65,前50%,安徽工业大学,,,31
65,前50%,石河子大学,,,31
67,前50%,燕山大学,,,30
68,前50%,东北石油大学,,,29
69,前50%,辽宁石油化工大学,,,28
69,前50%,山西大学,,,28
69,前50%,武汉工程大学,,,28
72,前50%,东北林业大学,,,27
73,前50%,河南大学,,,26
73,前50%,黑龙江大学,,,26
73,前50%,上海电力学院,,,26
76,前50%,暨南大学,,,25
77,前50%,河南工业大学,,,23
78,前50%,河北科技大学,,,22
78,前50%,山东理工大学,,,22
78,前50%,沈阳化工大学,,,22
78,前50%,武汉科技大学,,,22
78,前50%,扬州大学,,,22
83,前50%,广州大学,,,21
83,前50%,辽宁大学,,,21
83,前50%,南京林业大学,,,21
83,前50%,天津理工大学,,,21
83,前50%,新疆大学,,,21
88,前50%,江西师范大学,,,20
89,前50%,华东师范大学,,,19
89,前50%,济南大学,,,19
89,前50%,南昌航空大学,,,19
89,前50%,中北大学,,,19
93,前50%,安徽大学,,,18
93,前50%,哈尔滨工程大学,,,18
93,前50%,湖南师范大学,,,18
93,前50%,华侨大学,,,18
97,前50%,成都理工大学,,,17
97,前50%,河南理工大学,,,17
97,前50%,陕西科技大学,,,17
