2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,天津大学,,,1191
2,2,前5%,华东理工大学,,,1100
3,7,前5%,大连理工大学,,,993
4,6,前5%,南京工业大学,,,986
5,3,前5%,浙江大学,,,935
6,4,前5%,北京化工大学,,,911
7,5,前5%,清华大学,,,812
8,8,前5%,华南理工大学,,,663
9,9,前5%,中国石油大学（北京）,,,505
10,10,前10%,哈尔滨工业大学,,,404
11,12,前10%,浙江工业大学,,,369
12,11,前10%,上海交通大学,,,288
13,13,前10%,四川大学,,,252
14,22,前10%,中国石油大学（华东）,,,250
15,16,前10%,太原理工大学,,,247
16,15,前10%,中南大学,,,241
17,14,前10%,西安交通大学,,,216
18,20,前10%,苏州大学,,,186
19,18,前10%,中国矿业大学,,,183
20,19,前25%,西北大学,,,181
21,25,前25%,北京理工大学,,,163
22,30,前25%,重庆大学,,,144
23,31,前25%,福州大学,,,143
24,27,前25%,江苏大学,,,137
25,21,前25%,厦门大学,,,131
26,24,前25%,江南大学,,,129
27,26,前25%,东南大学,,,122
28,28,前25%,南京理工大学,,,118
28,29,前25%,郑州大学,,,118
30,35,前25%,北京工业大学,,,115
31,38,前25%,湖南大学,,,109
32,32,前25%,南京大学,,,104
33,17,前25%,中山大学,,,100
34,37,前25%,天津工业大学,,,95
35,32,前25%,上海应用技术大学,,,90
36,23,前25%,河北工业大学,,,88
37,34,前25%,山东大学,,,87
38,43,前25%,西南石油大学,,,84
39,39,前25%,青岛科技大学,,,79
40,42,前25%,北京科技大学,,,70
41,45,前25%,常州大学,,,67
42,52,前25%,武汉理工大学,,,66
43,36,前25%,湘潭大学,,,65
44,43,前25%,东北大学,,,62
45,40,前25%,天津科技大学,,,61
46,41,前25%,吉林大学,,,59
46,46,前25%,昆明理工大学,,,59
48,46,前25%,合肥工业大学,,,56
49,58,前50%,广东工业大学,,,54
49,93,前50%,华侨大学,,,54
51,46,前50%,东华大学,,,53
52,49,前50%,华北电力大学,,,52
52,89,前50%,华东师范大学,,,52
54,69,前50%,山西大学,,,51
55,50,前50%,陕西师范大学,,,47
56,55,前50%,武汉大学,,,45
57,58,前50%,上海大学,,,44
58,62,前50%,广西大学,,,42
59,52,前50%,兰州大学,,,40
60,60,前50%,北京航空航天大学,,,38
60,57,前50%,浙江理工大学,,,38
62,69,前50%,武汉工程大学,,,37
63,64,前50%,中国矿业大学（北京）,,,36
64,62,前50%,齐鲁工业大学,,,35
64,73,前50%,上海电力大学,,,35
64,65,前50%,石河子大学,,,35
67,52,前50%,北京工商大学,,,34
67,67,前50%,燕山大学,,,34
69,51,前50%,西南大学,,,33
70,68,前50%,东北石油大学,,,32
70,60,前50%,中国海洋大学,,,32
72,97,前50%,陕西科技大学,,,31
73,65,前50%,安徽工业大学,,,30
74,83,前50%,南京林业大学,,,29
74,55,前50%,苏州科技大学,,,29
74,83,前50%,天津理工大学,,,29
77,76,前50%,暨南大学,,,28
77,78,前50%,扬州大学,,,28
79,73,前50%,河南大学,,,26
80,69,前50%,辽宁石油化工大学,,,25
80,78,前50%,山东理工大学,,,25
82,89,前50%,济南大学,,,24
82,,前50%,山东科技大学,,,24
82,78,前50%,沈阳化工大学,,,24
85,,前50%,南昌大学,,,23
85,78,前50%,武汉科技大学,,,23
87,83,前50%,广州大学,,,22
88,93,前50%,安徽大学,,,21
88,97,前50%,河南理工大学,,,21
88,,前50%,西南科技大学,,,21
88,83,前50%,新疆大学,,,21
88,,前50%,郑州轻工业大学,,,21
93,89,前50%,南昌航空大学,,,20
93,,前50%,深圳大学,,,20
93,89,前50%,中北大学,,,20
93,,前50%,陆军勤务学院,,,20
97,78,前50%,河北科技大学,,,19
97,93,前50%,湖南师范大学,,,19
97,83,前50%,辽宁大学,,,19
97,,前50%,西北工业大学,,,19
