排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,同济大学,,,1155
2,前5%,清华大学,,,1033
3,前5%,浙江大学,,,732
4,前5%,东南大学,,,674
5,前5%,哈尔滨工业大学,,,629
6,前5%,大连理工大学,,,482
7,前5%,重庆大学,,,434
8,前10%,湖南大学,,,398
9,前10%,北京交通大学,,,380
10,前10%,天津大学,,,367
11,前10%,西南交通大学,,,276
12,前10%,上海交通大学,,,242
13,前10%,河海大学,,,234
14,前10%,武汉大学,,,231
15,前10%,解放军理工大学,,,222
16,前25%,中南大学,,,193
17,前25%,北京工业大学,,,187
18,前25%,山东大学,,,165
19,前25%,深圳大学,,,157
20,前25%,西安建筑科技大学,,,155
21,前25%,广州大学,,,153
22,前25%,长沙理工大学,,,149
23,前25%,华南理工大学,,,146
24,前25%,华中科技大学,,,136
25,前25%,南京工业大学,,,131
26,前25%,中国矿业大学（北京）,,,130
27,前25%,合肥工业大学,,,123
28,前25%,四川大学,,,112
29,前25%,武汉理工大学,,,92
30,前25%,广西大学,,,89
31,前25%,长安大学,,,88
32,前25%,福州大学,,,83
33,前25%,北京科技大学,,,68
34,前25%,北京建筑大学,,,65
35,前25%,青岛理工大学,,,59
36,前25%,北京航空航天大学,,,52
36,前25%,重庆交通大学,,,52
38,前25%,石家庄铁道大学,,,51
39,前50%,浙江工业大学,,,46
40,前50%,天津城建大学,,,45
41,前50%,西安交通大学,,,41
42,前50%,沈阳建筑大学,,,40
42,前50%,中国矿业大学,,,40
44,前50%,厦门大学,,,39
44,前50%,郑州大学,,,39
46,前50%,华侨大学,,,37
47,前50%,南京林业大学,,,36
48,前50%,山东科技大学,,,35
48,前50%,太原理工大学,,,35
50,前50%,三峡大学,,,34
51,前50%,西北工业大学,,,33
52,前50%,宁波大学,,,31
53,前50%,广东工业大学,,,27
53,前50%,湖南科技大学,,,27
53,前50%,南京航空航天大学,,,27
56,前50%,福建工程学院,,,25
57,前50%,江苏大学,,,24
57,前50%,山东建筑大学,,,24
57,前50%,上海大学,,,24
57,前50%,苏州科技大学,,,24
57,前50%,中山大学,,,24
62,前50%,华北电力大学,,,23
63,前50%,湖北工业大学,,,22
63,前50%,西安理工大学,,,22
65,前50%,扬州大学,,,21
66,前50%,吉林大学,,,20
66,前50%,兰州大学,,,20
68,前50%,南京理工大学,,,19
68,前50%,燕山大学,,,19
70,前50%,西北农林科技大学,,,18
71,前50%,哈尔滨工程大学,,,17
71,前50%,华东交通大学,,,17
71,前50%,中国地质大学（武汉）,,,17
74,前50%,济南大学,,,16
75,前50%,河南工业大学,,,15
75,前50%,华北水利水电大学,,,15
75,前50%,兰州交通大学,,,15
75,前50%,中国海洋大学,,,15
