2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,同济大学,,,1225
2,2,前5%,清华大学,,,1135
3,4,前5%,东南大学,,,739
4,3,前5%,浙江大学,,,617
5,5,前5%,哈尔滨工业大学,,,585
6,7,前5%,重庆大学,,,494
7,6,前5%,大连理工大学,,,468
8,10,前5%,天津大学,,,370
9,8,前10%,湖南大学,,,366
10,9,前10%,北京交通大学,,,330
11,13,前10%,河海大学,,,295
12,11,前10%,西南交通大学,,,253
13,16,前10%,中南大学,,,246
14,17,前10%,北京工业大学,,,209
14,12,前10%,上海交通大学,,,209
16,14,前10%,武汉大学,,,201
17,20,前25%,西安建筑科技大学,,,192
18,19,前25%,深圳大学,,,175
19,18,前25%,山东大学,,,166
20,21,前25%,广州大学,,,163
21,24,前25%,华中科技大学,,,145
21,25,前25%,南京工业大学,,,145
23,22,前25%,长沙理工大学,,,135
24,29,前25%,武汉理工大学,,,118
25,27,前25%,合肥工业大学,,,115
26,33,前25%,北京科技大学,,,106
26,31,前25%,长安大学,,,106
28,26,前25%,中国矿业大学（北京）,,,103
29,15,前25%,陆军工程大学,,,102
30,23,前25%,华南理工大学,,,98
31,30,前25%,广西大学,,,94
32,32,前25%,福州大学,,,85
33,39,前25%,浙江工业大学,,,83
34,35,前25%,青岛理工大学,,,80
35,34,前25%,北京建筑大学,,,73
36,28,前25%,四川大学,,,72
37,42,前25%,中国矿业大学,,,60
38,36,前25%,重庆交通大学,,,58
39,38,前25%,石家庄铁道大学,,,52
40,36,前25%,北京航空航天大学,,,48
41,46,前50%,华侨大学,,,47
42,40,前50%,天津城建大学,,,46
43,42,前50%,沈阳建筑大学,,,45
43,41,前50%,西安交通大学,,,45
45,44,前50%,郑州大学,,,43
46,57,前50%,山东建筑大学,,,42
47,53,前50%,湖南科技大学,,,38
48,51,前50%,西北工业大学,,,37
49,57,前50%,苏州科技大学,,,35
49,48,前50%,太原理工大学,,,35
49,63,前50%,西安理工大学,,,35
52,47,前50%,南京林业大学,,,33
53,50,前50%,三峡大学,,,31
53,48,前50%,山东科技大学,,,31
55,53,前50%,南京航空航天大学,,,28
56,53,前50%,广东工业大学,,,27
57,,前50%,东北大学,,,26
57,63,前50%,湖北工业大学,,,26
59,62,前50%,华北电力大学,,,24
59,57,前50%,江苏大学,,,24
59,52,前50%,宁波大学,,,24
62,71,前50%,华东交通大学,,,23
63,,前50%,兰州理工大学,,,22
64,65,前50%,扬州大学,,,21
65,71,前50%,哈尔滨工程大学,,,20
65,66,前50%,兰州大学,,,20
65,57,前50%,上海大学,,,20
68,,前50%,大连海事大学,,,18
68,,前50%,河北工业大学,,,18
68,57,前50%,中山大学,,,18
71,,前50%,江苏科技大学,,,17
72,74,前50%,济南大学,,,16
72,70,前50%,西北农林科技大学,,,16
72,71,前50%,中国地质大学（武汉）,,,16
75,56,前50%,福建工程学院,,,15
75,75,前50%,华北水利水电大学,,,15
75,44,前50%,厦门大学,,,15
75,,前50%,上海理工大学,,,15
75,75,前50%,中国海洋大学,,,15
80,75,前50%,河南工业大学,,,14
80,,前50%,河南理工大学,,,14
80,66,前50%,吉林大学,,,14
80,68,前50%,燕山大学,,,14
