排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,成都理工大学,,,805
2,前5%,中国矿业大学（北京）,,,573
3,前10%,南京大学,,,459
4,前10%,同济大学,,,458
5,前25%,中国地质大学（武汉）,,,445
6,前25%,吉林大学,,,380
7,前25%,中国地质大学（北京）,,,371
8,前25%,长安大学,,,296
9,前25%,河海大学,,,246
10,前25%,中国石油大学（北京）,,,243
11,前25%,中南大学,,,238
12,前50%,中国矿业大学,,,237
13,前50%,重庆大学,,,92
14,前50%,东北大学,,,59
15,前50%,南京工业大学,,,58
16,前50%,东华理工大学,,,56
16,前50%,太原理工大学,,,56
16,前50%,西北大学,,,56
16,前50%,西南交通大学,,,56
20,前50%,山东科技大学,,,45
21,前50%,北京交通大学,,,34
22,前50%,兰州大学,,,22
23,前50%,三峡大学,,,20
23,前50%,西南石油大学,,,20
23,前50%,中国石油大学（华东）,,,20
