2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,成都理工大学,,,843
2,5,前5%,中国地质大学（武汉）,,,730
3,4,前10%,同济大学,,,641
4,2,前10%,中国矿业大学（北京）,,,471
5,8,前25%,长安大学,,,409
6,10,前25%,中国石油大学（北京）,,,402
7,12,前25%,中国矿业大学,,,388
8,6,前25%,吉林大学,,,372
9,11,前25%,中南大学,,,337
10,9,前25%,河海大学,,,263
11,3,前25%,南京大学,,,234
12,7,前25%,中国地质大学（北京）,,,216
13,16,前50%,西南交通大学,,,150
14,13,前50%,重庆大学,,,146
15,14,前50%,东北大学,,,85
16,16,前50%,太原理工大学,,,79
17,20,前50%,山东科技大学,,,68
18,15,前50%,南京工业大学,,,67
19,16,前50%,东华理工大学,,,56
20,,前50%,合肥工业大学,,,55
20,,前50%,中国海洋大学,,,55
22,16,前50%,西北大学,,,49
23,23,前50%,三峡大学,,,41
23,23,前50%,中国石油大学（华东）,,,41
