排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,同济大学,,,676
2,前5%,天津大学,,,644
3,前10%,清华大学,,,352
4,前10%,南京大学,,,293
5,前10%,华中科技大学,,,245
6,前25%,华南理工大学,,,218
7,前25%,东南大学,,,203
8,前25%,西安建筑科技大学,,,187
9,前25%,重庆大学,,,145
10,前25%,哈尔滨工业大学,,,138
11,前25%,浙江工业大学,,,108
12,前25%,西南交通大学,,,98
13,前25%,武汉大学,,,93
14,前50%,苏州科技大学,,,65
15,前50%,北京林业大学,,,63
16,前50%,大连理工大学,,,57
16,前50%,深圳大学,,,57
18,前50%,湖南大学,,,42
19,前50%,北京交通大学,,,40
20,前50%,北京建筑大学,,,39
21,前50%,沈阳建筑大学,,,35
22,前50%,山东建筑大学,,,34
22,前50%,四川大学,,,34
24,前50%,浙江农林大学,,,31
25,前50%,南京林业大学,,,30
26,前50%,北京工业大学,,,28
27,前50%,华侨大学,,,22
27,前50%,西北大学,,,22
