2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,同济大学,,,760
2,2,前5%,天津大学,,,631
3,3,前5%,清华大学,,,390
4,4,前10%,南京大学,,,381
5,5,前10%,华中科技大学,,,283
6,7,前10%,东南大学,,,228
7,6,前25%,华南理工大学,,,194
8,9,前25%,重庆大学,,,164
9,11,前25%,浙江工业大学,,,162
10,8,前25%,西安建筑科技大学,,,146
11,,前25%,中山大学,,,144
12,13,前25%,武汉大学,,,129
13,26,前25%,北京工业大学,,,101
14,10,前25%,哈尔滨工业大学,,,96
15,12,前25%,西南交通大学,,,80
16,16,前50%,深圳大学,,,79
17,15,前50%,北京林业大学,,,68
18,18,前50%,湖南大学,,,61
19,16,前50%,大连理工大学,,,43
20,20,前50%,北京建筑大学,,,41
20,19,前50%,北京交通大学,,,41
20,14,前50%,苏州科技大学,,,41
23,,前50%,武汉理工大学,,,40
24,,前50%,北方工业大学,,,34
25,22,前50%,山东建筑大学,,,33
26,,前50%,中国矿业大学,,,28
27,27,前50%,华侨大学,,,27
28,24,前50%,浙江农林大学,,,25
29,21,前50%,沈阳建筑大学,,,23
29,27,前50%,西北大学,,,23
31,,前50%,广州大学,,,20
31,22,前50%,四川大学,,,20
