排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,中国科学技术大学,,,622
2,前5%,中国矿业大学,,,620
3,前10%,中国矿业大学（北京）,,,396
4,前10%,清华大学,,,304
5,前10%,中南大学,,,237
6,前25%,西安科技大学,,,230
7,前25%,北京化工大学,,,200
8,前25%,安徽理工大学,,,196
9,前25%,北京科技大学,,,159
10,前25%,辽宁工程技术大学,,,152
11,前25%,河南理工大学,,,139
12,前25%,中国石油大学（北京）,,,130
13,前25%,东北大学,,,126
14,前25%,中国地质大学（北京）,,,109
15,前50%,山东科技大学,,,83
16,前50%,南京工业大学,,,79
17,前50%,黑龙江科技大学,,,72
18,前50%,湖南科技大学,,,48
18,前50%,重庆大学,,,48
20,前50%,太原理工大学,,,30
21,前50%,青岛理工大学,,,22
21,前50%,中国石油大学（华东）,,,22
23,前50%,华北理工大学,,,17
24,前50%,大连理工大学,,,13
24,前50%,福州大学,,,13
24,前50%,武汉理工大学,,,13
27,前50%,南京理工大学,,,9
27,前50%,石家庄铁道大学,,,9
29,前50%,北京交通大学,,,4
29,前50%,常州大学,,,4
29,前50%,华东理工大学,,,4
29,前50%,江西理工大学,,,4
29,前50%,南华大学,,,4
29,前50%,首都经济贸易大学,,,4
29,前50%,天津理工大学,,,4
29,前50%,西南交通大学,,,4
29,前50%,郑州大学,,,4
29,前50%,中国民航大学,,,4
