2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前5%,中国矿业大学,,,833
2,1,前5%,中国科学技术大学,,,815
3,3,前5%,中国矿业大学（北京）,,,379
4,4,前10%,清华大学,,,261
5,15,前10%,山东科技大学,,,257
6,6,前10%,西安科技大学,,,218
7,8,前25%,安徽理工大学,,,193
8,5,前25%,中南大学,,,141
9,11,前25%,河南理工大学,,,136
10,10,前25%,辽宁工程技术大学,,,125
11,12,前25%,中国石油大学（北京）,,,109
12,7,前25%,北京化工大学,,,100
12,9,前25%,北京科技大学,,,100
14,,前25%,北京理工大学,,,98
15,16,前25%,南京工业大学,,,65
16,13,前50%,东北大学,,,58
17,17,前50%,黑龙江科技大学,,,57
17,18,前50%,重庆大学,,,57
19,18,前50%,湖南科技大学,,,43
20,14,前50%,中国地质大学（北京）,,,40
21,20,前50%,太原理工大学,,,36
22,24,前50%,大连理工大学,,,21
23,29,前50%,北京交通大学,,,18
23,21,前50%,青岛理工大学,,,18
23,24,前50%,武汉理工大学,,,18
23,,前50%,中国计量大学,,,18
23,21,前50%,中国石油大学（华东）,,,18
28,24,前50%,福州大学,,,14
29,23,前50%,华北理工大学,,,11
29,29,前50%,西南交通大学,,,11
31,29,前50%,常州大学,,,7
31,,前50%,贵州大学,,,7
31,29,前50%,南华大学,,,7
31,27,前50%,石家庄铁道大学,,,7
31,,前50%,武汉工程大学,,,7
31,29,前50%,郑州大学,,,7
31,,前50%,中国人民武装警察部队学院,,,7
