排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,清华大学,,,836
2,前5%,天津大学,,,713
3,前10%,西安建筑科技大学,,,532
4,前10%,同济大学,,,512
5,前10%,东南大学,,,376
6,前25%,山东建筑大学,,,333
7,前25%,华南理工大学,,,291
8,前25%,哈尔滨工业大学,,,228
9,前25%,北京工业大学,,,153
10,前25%,重庆大学,,,117
11,前25%,浙江大学,,,80
12,前25%,大连理工大学,,,79
13,前25%,上海交通大学,,,59
14,前25%,华中科技大学,,,49
15,前50%,沈阳建筑大学,,,46
16,前50%,深圳大学,,,38
16,前50%,西南交通大学,,,38
18,前50%,湖南大学,,,37
19,前50%,华侨大学,,,33
20,前50%,北京建筑大学,,,30
20,前50%,南京大学,,,30
20,前50%,天津城建大学,,,30
23,前50%,南京工业大学,,,26
24,前50%,西安交通大学,,,24
25,前50%,福州大学,,,23
25,前50%,武汉大学,,,23
27,前50%,河北工业大学,,,21
28,前50%,昆明理工大学,,,20
29,前50%,北方工业大学,,,16
29,前50%,北京大学,,,16
29,前50%,东北大学,,,16
29,前50%,苏州大学,,,16
