2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,清华大学,,,816
2,2,前5%,天津大学,,,635
3,3,前5%,西安建筑科技大学,,,516
4,4,前10%,同济大学,,,472
5,5,前10%,东南大学,,,460
6,6,前10%,山东建筑大学,,,352
7,7,前10%,华南理工大学,,,262
8,8,前25%,哈尔滨工业大学,,,232
9,10,前25%,重庆大学,,,158
10,11,前25%,浙江大学,,,77
11,12,前25%,大连理工大学,,,73
12,23,前25%,南京工业大学,,,59
13,15,前25%,沈阳建筑大学,,,58
14,14,前25%,华中科技大学,,,51
15,20,前25%,南京大学,,,50
16,9,前25%,北京工业大学,,,48
17,16,前25%,深圳大学,,,44
18,19,前25%,华侨大学,,,43
19,18,前50%,湖南大学,,,42
20,24,前50%,西安交通大学,,,39
21,13,前50%,上海交通大学,,,38
21,16,前50%,西南交通大学,,,38
23,29,前50%,苏州大学,,,32
24,20,前50%,北京建筑大学,,,30
25,20,前50%,天津城建大学,,,29
26,,前50%,郑州大学,,,28
27,,前50%,广州大学,,,26
28,25,前50%,武汉大学,,,25
29,27,前50%,河北工业大学,,,22
30,,前50%,厦门大学,,,21
31,29,前50%,北京大学,,,20
31,29,前50%,东北大学,,,20
33,,前50%,广东工业大学,,,19
34,,前50%,北京交通大学,,,18
35,,前50%,四川大学,,,16
36,,前50%,中南大学,,,15
