排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1205
2,前5%,哈尔滨工业大学,,,1064
3,前5%,浙江大学,,,1011
4,前5%,东北大学,,,844
5,前5%,北京航空航天大学,,,797
6,前5%,上海交通大学,,,683
7,前5%,东南大学,,,427
8,前5%,西安交通大学,,,426
9,前5%,华中科技大学,,,415
10,前10%,北京理工大学,,,408
11,前10%,山东大学,,,401
12,前10%,中南大学,,,350
13,前10%,南京理工大学,,,294
14,前10%,南京航空航天大学,,,293
15,前10%,华东理工大学,,,290
16,前10%,华南理工大学,,,266
17,前10%,北京大学,,,236
18,前10%,大连理工大学,,,234
19,前25%,国防科学技术大学,,,230
20,前25%,电子科技大学,,,227
21,前25%,西北工业大学,,,218
22,前25%,中国科学技术大学,,,217
23,前25%,杭州电子科技大学,,,216
24,前25%,西安电子科技大学,,,199
25,前25%,同济大学,,,177
26,前25%,上海大学,,,158
27,前25%,华北电力大学,,,152
27,前25%,浙江工业大学,,,152
29,前25%,燕山大学,,,150
30,前25%,北京交通大学,,,144
31,前25%,广东工业大学,,,137
32,前25%,天津大学,,,132
33,前25%,渤海大学,,,123
34,前25%,中国地质大学（武汉）,,,118
35,前25%,哈尔滨工程大学,,,117
36,前25%,北京科技大学,,,115
37,前25%,江南大学,,,111
38,前25%,东华大学,,,110
39,前25%,重庆大学,,,104
40,前25%,南开大学,,,97
41,前25%,湖南大学,,,96
42,前25%,苏州大学,,,92
43,前25%,南京邮电大学,,,91
44,前25%,西安建筑科技大学,,,87
45,前25%,北京工业大学,,,86
45,前25%,西南交通大学,,,86
47,前25%,北京化工大学,,,85
48,前50%,吉林大学,,,84
49,前50%,合肥工业大学,,,82
49,前50%,曲阜师范大学,,,82
51,前50%,厦门大学,,,78
52,前50%,南京大学,,,76
53,前50%,南京信息工程大学,,,70
54,前50%,山东科技大学,,,69
55,前50%,江苏大学,,,67
56,前50%,济南大学,,,66
57,前50%,北京邮电大学,,,62
57,前50%,中山大学,,,62
59,前50%,武汉大学,,,56
60,前50%,东北石油大学,,,54
60,前50%,空军工程大学,,,54
62,前50%,四川大学,,,53
63,前50%,第二炮兵工程大学,,,52
64,前50%,大连海事大学,,,51
64,前50%,中国石油大学（华东）,,,51
66,前50%,河海大学,,,50
66,前50%,上海理工大学,,,50
68,前50%,南京师范大学,,,49
68,前50%,上海海事大学,,,49
68,前50%,武汉理工大学,,,49
71,前50%,福州大学,,,48
71,前50%,西安理工大学,,,48
73,前50%,山西大学,,,46
74,前50%,中国矿业大学,,,43
75,前50%,青岛大学,,,41
76,前50%,武汉科技大学,,,40
77,前50%,深圳大学,,,38
78,前50%,辽宁工业大学,,,35
79,前50%,华侨大学,,,33
79,前50%,南通大学,,,33
81,前50%,天津理工大学,,,32
82,前50%,北方工业大学,,,31
82,前50%,天津工业大学,,,31
84,前50%,扬州大学,,,30
85,前50%,山东建筑大学,,,29
86,前50%,安徽大学,,,27
87,前50%,郑州大学,,,26
88,前50%,河南理工大学,,,25
88,前50%,黑龙江大学,,,25
88,前50%,重庆邮电大学,,,25
91,前50%,哈尔滨理工大学,,,24
91,前50%,海军工程大学,,,24
91,前50%,河北工业大学,,,24
94,前50%,湖南科技大学,,,23
94,前50%,南昌大学,,,23
94,前50%,新疆大学,,,23
94,前50%,中国计量大学,,,23
