2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前1%,哈尔滨工业大学,,,1004
2,3,前5%,浙江大学,,,987
3,1,前5%,清华大学,,,946
4,4,前5%,东北大学,,,834
5,6,前5%,上海交通大学,,,738
6,5,前5%,北京航空航天大学,,,681
7,10,前5%,北京理工大学,,,527
8,7,前5%,东南大学,,,455
9,8,前5%,西安交通大学,,,422
10,9,前10%,华中科技大学,,,393
11,11,前10%,山东大学,,,376
12,12,前10%,中南大学,,,366
13,16,前10%,华南理工大学,,,324
14,18,前10%,大连理工大学,,,313
15,21,前10%,西北工业大学,,,312
16,13,前10%,南京理工大学,,,296
17,14,前10%,南京航空航天大学,,,287
18,24,前10%,西安电子科技大学,,,236
19,25,前10%,同济大学,,,230
20,15,前25%,华东理工大学,,,219
21,23,前25%,杭州电子科技大学,,,217
22,22,前25%,中国科学技术大学,,,216
23,20,前25%,电子科技大学,,,207
24,32,前25%,天津大学,,,203
25,19,前25%,国防科学技术大学,,,196
26,31,前25%,广东工业大学,,,180
27,29,前25%,燕山大学,,,165
28,35,前25%,哈尔滨工程大学,,,153
29,26,前25%,上海大学,,,151
30,27,前25%,浙江工业大学,,,149
31,17,前25%,北京大学,,,143
32,48,前25%,吉林大学,,,142
33,36,前25%,北京科技大学,,,140
34,39,前25%,重庆大学,,,138
35,34,前25%,中国地质大学（武汉）,,,137
36,37,前25%,江南大学,,,132
37,54,前25%,山东科技大学,,,123
38,30,前25%,北京交通大学,,,114
39,33,前25%,渤海大学,,,112
40,74,前25%,中国矿业大学,,,104
41,41,前25%,湖南大学,,,99
41,40,前25%,南开大学,,,99
43,38,前25%,东华大学,,,97
44,43,前25%,南京邮电大学,,,91
44,45,前25%,西南交通大学,,,91
46,45,前25%,北京工业大学,,,86
47,49,前25%,曲阜师范大学,,,84
48,47,前25%,北京化工大学,,,83
49,49,前25%,合肥工业大学,,,73
50,60,前50%,空军工程大学,,,70
51,53,前50%,南京信息工程大学,,,68
52,44,前50%,西安建筑科技大学,,,66
52,71,前50%,西安理工大学,,,66
54,73,前50%,山西大学,,,65
55,56,前50%,济南大学,,,62
55,42,前50%,苏州大学,,,62
57,57,前50%,中山大学,,,60
58,51,前50%,厦门大学,,,58
58,62,前50%,四川大学,,,58
60,63,前50%,火箭军工程大学,,,57
61,71,前50%,福州大学,,,56
62,27,前50%,华北电力大学,,,54
63,66,前50%,上海理工大学,,,52
63,59,前50%,武汉大学,,,52
65,57,前50%,北京邮电大学,,,51
66,66,前50%,河海大学,,,49
67,75,前50%,青岛大学,,,48
68,78,前50%,辽宁工业大学,,,47
68,77,前50%,深圳大学,,,47
68,84,前50%,扬州大学,,,47
71,76,前50%,武汉科技大学,,,46
72,68,前50%,上海海事大学,,,44
72,64,前50%,中国石油大学（华东）,,,44
74,60,前50%,东北石油大学,,,43
75,64,前50%,大连海事大学,,,40
76,55,前50%,江苏大学,,,39
76,68,前50%,南京师范大学,,,39
78,79,前50%,华侨大学,,,37
78,68,前50%,武汉理工大学,,,37
78,91,前50%,海军工程大学,,,37
81,88,前50%,重庆邮电大学,,,36
82,87,前50%,郑州大学,,,34
83,88,前50%,河南理工大学,,,33
83,52,前50%,南京大学,,,33
83,81,前50%,天津理工大学,,,33
86,82,前50%,天津工业大学,,,32
87,,前50%,上海工程技术大学,,,29
88,91,前50%,哈尔滨理工大学,,,28
89,91,前50%,河北工业大学,,,26
89,88,前50%,黑龙江大学,,,26
89,,前50%,湖南工业大学,,,26
89,,前50%,中北大学,,,26
93,85,前50%,山东建筑大学,,,24
93,,前50%,郑州轻工业大学,,,24
95,86,前50%,安徽大学,,,23
96,82,前50%,北方工业大学,,,22
96,94,前50%,湖南科技大学,,,22
96,,前50%,太原理工大学,,,22
