排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,华中科技大学,,,1207
2,前1%,清华大学,,,1035
3,前5%,上海交通大学,,,1026
4,前5%,西安交通大学,,,1009
5,前5%,浙江大学,,,769
6,前5%,天津大学,,,632
7,前5%,哈尔滨工业大学,,,592
8,前5%,大连理工大学,,,517
9,前5%,北京航空航天大学,,,495
10,前5%,南京航空航天大学,,,432
11,前10%,北京理工大学,,,372
12,前10%,西北工业大学,,,311
13,前10%,重庆大学,,,305
14,前10%,吉林大学,,,282
15,前10%,中南大学,,,281
16,前10%,湖南大学,,,244
17,前10%,西南交通大学,,,230
18,前10%,中国科学技术大学,,,218
19,前10%,东南大学,,,212
20,前10%,同济大学,,,197
21,前10%,上海大学,,,192
22,前25%,华南理工大学,,,189
23,前25%,中国矿业大学,,,187
24,前25%,北京工业大学,,,180
25,前25%,江苏大学,,,165
26,前25%,燕山大学,,,163
27,前25%,浙江工业大学,,,157
28,前25%,武汉理工大学,,,156
29,前25%,山东大学,,,155
30,前25%,西安电子科技大学,,,152
31,前25%,电子科技大学,,,151
32,前25%,东北大学,,,141
33,前25%,国防科学技术大学,,,139
34,前25%,合肥工业大学,,,124
35,前25%,中国石油大学（北京）,,,121
36,前25%,北京交通大学,,,120
37,前25%,广东工业大学,,,109
38,前25%,南京理工大学,,,95
39,前25%,华北电力大学,,,92
40,前25%,哈尔滨工程大学,,,89
40,前25%,华东理工大学,,,89
42,前25%,华侨大学,,,74
43,前25%,武汉科技大学,,,72
43,前25%,浙江理工大学,,,72
45,前25%,北京科技大学,,,69
45,前25%,昆明理工大学,,,69
47,前25%,四川大学,,,65
48,前25%,哈尔滨理工大学,,,64
49,前25%,上海理工大学,,,61
50,前25%,河海大学,,,59
51,前25%,太原理工大学,,,57
51,前25%,武汉大学,,,57
53,前50%,天津工业大学,,,55
54,前50%,湖南科技大学,,,52
55,前50%,厦门大学,,,51
56,前50%,西安理工大学,,,48
57,前50%,中国石油大学（华东）,,,47
58,前50%,江南大学,,,46
58,前50%,宁波大学,,,46
60,前50%,中北大学,,,45
61,前50%,苏州大学,,,44
62,前50%,汕头大学,,,41
62,前50%,重庆理工大学,,,41
62,前50%,装甲兵工程学院,,,41
65,前50%,河南科技大学,,,40
66,前50%,河北工业大学,,,38
66,前50%,江苏科技大学,,,38
68,前50%,山东科技大学,,,35
68,前50%,太原科技大学,,,35
68,前50%,长安大学,,,35
71,前50%,南京工业大学,,,34
72,前50%,青岛理工大学,,,33
73,前50%,山东理工大学,,,32
74,前50%,大连交通大学,,,31
74,前50%,上海工程技术大学,,,31
76,前50%,湘潭大学,,,30
77,前50%,长沙理工大学,,,29
78,前50%,常州大学,,,27
78,前50%,兰州理工大学,,,27
80,前50%,安徽工业大学,,,24
80,前50%,大连海事大学,,,24
80,前50%,东华大学,,,24
80,前50%,杭州电子科技大学,,,24
80,前50%,沈阳航空航天大学,,,24
85,前50%,北京化工大学,,,23
85,前50%,福州大学,,,23
85,前50%,深圳大学,,,23
85,前50%,郑州大学,,,23
85,前50%,中国农业大学,,,23
90,前50%,西南石油大学,,,22
91,前50%,河南理工大学,,,21
91,前50%,湖北工业大学,,,21
93,前50%,济南大学,,,20
93,前50%,沈阳工业大学,,,20
93,前50%,扬州大学,,,20
96,前50%,北京信息科技大学,,,17
96,前50%,沈阳建筑大学,,,17
98,前50%,山东建筑大学,,,16
98,前50%,西安建筑科技大学,,,16
100,前50%,兰州交通大学,,,15
100,前50%,南京林业大学,,,15
100,前50%,三峡大学,,,15
103,前50%,安徽理工大学,,,14
103,前50%,广州大学,,,14
103,前50%,解放军理工大学,,,14
103,前50%,青岛大学,,,14
103,前50%,上海海事大学,,,14
103,前50%,西华大学,,,14
103,前50%,重庆交通大学,,,14
