2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前1%,清华大学,,,1105
2,1,前1%,华中科技大学,,,1099
3,4,前5%,西安交通大学,,,1048
4,3,前5%,上海交通大学,,,973
5,8,前5%,大连理工大学,,,767
6,9,前5%,北京航空航天大学,,,669
7,7,前5%,哈尔滨工业大学,,,648
8,5,前5%,浙江大学,,,615
9,6,前5%,天津大学,,,516
10,10,前5%,南京航空航天大学,,,409
11,11,前5%,北京理工大学,,,395
12,15,前10%,中南大学,,,332
13,13,前10%,重庆大学,,,328
14,12,前10%,西北工业大学,,,327
15,14,前10%,吉林大学,,,283
16,17,前10%,西南交通大学,,,259
17,16,前10%,湖南大学,,,256
18,21,前10%,上海大学,,,226
19,20,前10%,同济大学,,,218
20,19,前10%,东南大学,,,199
21,23,前10%,中国矿业大学,,,198
22,22,前10%,华南理工大学,,,194
23,25,前25%,江苏大学,,,193
24,18,前25%,中国科学技术大学,,,184
25,24,前25%,北京工业大学,,,171
26,26,前25%,燕山大学,,,166
27,28,前25%,武汉理工大学,,,163
28,34,前25%,合肥工业大学,,,157
29,29,前25%,山东大学,,,153
30,31,前25%,电子科技大学,,,152
31,30,前25%,西安电子科技大学,,,151
32,32,前25%,东北大学,,,150
33,38,前25%,南京理工大学,,,139
34,27,前25%,浙江工业大学,,,137
35,51,前25%,太原理工大学,,,119
36,37,前25%,广东工业大学,,,118
37,35,前25%,中国石油大学（北京）,,,109
38,51,前25%,武汉大学,,,99
39,33,前25%,国防科学技术大学,,,98
40,40,前25%,哈尔滨工程大学,,,93
41,39,前25%,华北电力大学,,,91
42,85,前25%,中国农业大学,,,90
43,36,前25%,北京交通大学,,,88
43,66,前25%,河北工业大学,,,88
45,43,前25%,武汉科技大学,,,87
46,45,前25%,北京科技大学,,,86
47,50,前25%,河海大学,,,77
48,40,前25%,华东理工大学,,,72
48,49,前25%,上海理工大学,,,72
50,42,前25%,华侨大学,,,68
51,43,前25%,浙江理工大学,,,65
52,54,前25%,湖南科技大学,,,64
52,45,前25%,昆明理工大学,,,64
54,47,前25%,四川大学,,,61
55,61,前25%,苏州大学,,,54
56,57,前50%,中国石油大学（华东）,,,53
57,55,前50%,厦门大学,,,50
58,66,前50%,江苏科技大学,,,46
58,56,前50%,西安理工大学,,,46
60,58,前50%,江南大学,,,45
61,65,前50%,河南科技大学,,,43
61,68,前50%,长安大学,,,43
63,48,前50%,哈尔滨理工大学,,,42
64,,前50%,齐鲁工业大学,,,40
64,62,前50%,重庆理工大学,,,40
66,71,前50%,南京工业大学,,,38
66,73,前50%,山东理工大学,,,38
68,72,前50%,青岛理工大学,,,37
68,90,前50%,西南石油大学,,,37
70,74,前50%,上海工程技术大学,,,35
71,62,前50%,汕头大学,,,34
71,60,前50%,中北大学,,,34
73,76,前50%,湘潭大学,,,32
74,85,前50%,深圳大学,,,31
74,77,前50%,长沙理工大学,,,31
76,103,前50%,广州大学,,,30
76,80,前50%,杭州电子科技大学,,,30
76,58,前50%,宁波大学,,,30
79,85,前50%,福州大学,,,29
79,68,前50%,太原科技大学,,,29
79,,前50%,中国计量大学,,,29
82,74,前50%,大连交通大学,,,28
83,78,前50%,常州大学,,,26
84,80,前50%,东华大学,,,25
84,91,前50%,河南理工大学,,,25
84,78,前50%,兰州理工大学,,,25
87,80,前50%,沈阳航空航天大学,,,24
88,85,前50%,北京化工大学,,,23
88,80,前50%,大连海事大学,,,23
90,,前50%,西安科技大学,,,22
90,85,前50%,郑州大学,,,22
90,,前50%,装甲兵工程学院,,,22
93,93,前50%,济南大学,,,21
93,96,前50%,沈阳建筑大学,,,21
95,80,前50%,安徽工业大学,,,20
95,91,前50%,湖北工业大学,,,20
95,68,前50%,山东科技大学,,,20
98,,前50%,厦门理工学院,,,19
98,93,前50%,沈阳工业大学,,,19
98,,前50%,中国地质大学（武汉）,,,19
98,,前50%,海军工程大学,,,19
98,103,前50%,重庆交通大学,,,19
103,96,前50%,北京信息科技大学,,,18
103,,前50%,华东交通大学,,,18
103,100,前50%,三峡大学,,,18
103,,前50%,温州大学,,,18
103,93,前50%,扬州大学,,,18
108,103,前50%,上海海事大学,,,17
108,103,前50%,西华大学,,,17
108,,前50%,郑州轻工业大学,,,17
108,,前50%,空军工程大学,,,17
108,103,前50%,陆军工程大学,,,17
