排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1179
2,前1%,浙江大学,,,927
3,前5%,华南理工大学,,,796
4,前5%,西北工业大学,,,737
5,前5%,哈尔滨工业大学,,,716
6,前5%,北京科技大学,,,675
7,前5%,上海交通大学,,,662
8,前5%,南京大学,,,638
9,前5%,西安交通大学,,,593
10,前5%,中国科学技术大学,,,583
11,前10%,武汉理工大学,,,517
12,前10%,北京航空航天大学,,,494
13,前10%,中南大学,,,490
14,前10%,华中科技大学,,,474
15,前10%,吉林大学,,,456
16,前10%,四川大学,,,452
17,前10%,复旦大学,,,375
18,前10%,苏州大学,,,369
19,前10%,北京化工大学,,,368
20,前10%,上海大学,,,340
21,前25%,东华大学,,,337
22,前25%,南昌大学,,,336
23,前25%,山东大学,,,331
24,前25%,天津大学,,,310
25,前25%,大连理工大学,,,293
26,前25%,东北大学,,,258
27,前25%,东南大学,,,242
28,前25%,中山大学,,,237
29,前25%,北京理工大学,,,235
29,前25%,南京工业大学,,,235
31,前25%,重庆大学,,,223
32,前25%,同济大学,,,219
33,前25%,南开大学,,,200
34,前25%,南京理工大学,,,192
35,前25%,燕山大学,,,184
36,前25%,电子科技大学,,,169
37,前25%,武汉大学,,,168
38,前25%,厦门大学,,,167
39,前25%,北京工业大学,,,145
40,前25%,华东理工大学,,,139
41,前25%,哈尔滨工程大学,,,136
42,前25%,兰州大学,,,131
43,前25%,合肥工业大学,,,130
44,前25%,南京航空航天大学,,,122
45,前25%,太原理工大学,,,118
46,前25%,湘潭大学,,,116
47,前25%,济南大学,,,112
48,前25%,郑州大学,,,105
49,前25%,湖南大学,,,104
50,前25%,天津工业大学,,,99
50,前25%,武汉科技大学,,,99
52,前50%,江苏大学,,,95
53,前50%,西南交通大学,,,94
54,前50%,青岛科技大学,,,89
55,前50%,河北工业大学,,,76
56,前50%,常州大学,,,74
57,前50%,西安理工大学,,,73
57,前50%,装甲兵工程学院,,,73
59,前50%,湖北大学,,,70
60,前50%,江南大学,,,69
61,前50%,国防科学技术大学,,,68
61,前50%,浙江理工大学,,,68
63,前50%,青岛大学,,,64
63,前50%,中国矿业大学,,,64
65,前50%,安徽大学,,,63
66,前50%,深圳大学,,,62
67,前50%,陕西科技大学,,,61
68,前50%,安徽工业大学,,,60
69,前50%,昆明理工大学,,,53
70,前50%,东北师范大学,,,51
70,前50%,河南科技大学,,,51
72,前50%,广东工业大学,,,50
72,前50%,武汉纺织大学,,,50
72,前50%,西南大学,,,50
75,前50%,福州大学,,,48
76,前50%,上海理工大学,,,45
76,前50%,浙江工业大学,,,45
78,前50%,陕西师范大学,,,43
78,前50%,西安工业大学,,,43
78,前50%,中国计量大学,,,43
81,前50%,黑龙江大学,,,41
82,前50%,暨南大学,,,40
82,前50%,中国石油大学（华东）,,,40
84,前50%,河南大学,,,39
85,前50%,江苏科技大学,,,37
85,前50%,中国地质大学（北京）,,,37
85,前50%,中国石油大学（北京）,,,37
88,前50%,福建工程学院,,,36
89,前50%,华东师范大学,,,35
90,前50%,北京交通大学,,,34
90,前50%,武汉工程大学,,,34
90,前50%,云南大学,,,34
93,前50%,桂林电子科技大学,,,33
93,前50%,华南师范大学,,,33
93,前50%,长安大学,,,33
96,前50%,广西大学,,,32
96,前50%,华北电力大学,,,32
98,前50%,哈尔滨理工大学,,,31
98,前50%,天津理工大学,,,31
100,前50%,扬州大学,,,30
100,前50%,中国海洋大学,,,30
102,前50%,北京师范大学,,,29
102,前50%,齐鲁工业大学,,,29
102,前50%,西南科技大学,,,29
