2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,清华大学,,,1139
2,2,前1%,浙江大学,,,938
3,3,前5%,华南理工大学,,,765
4,5,前5%,哈尔滨工业大学,,,750
5,6,前5%,北京科技大学,,,717
6,4,前5%,西北工业大学,,,699
7,7,前5%,上海交通大学,,,636
8,11,前5%,武汉理工大学,,,609
9,8,前5%,南京大学,,,597
10,12,前5%,北京航空航天大学,,,583
11,9,前5%,西安交通大学,,,558
12,14,前10%,华中科技大学,,,506
13,16,前10%,四川大学,,,483
14,10,前10%,中国科学技术大学,,,464
15,13,前10%,中南大学,,,450
16,19,前10%,北京化工大学,,,434
17,15,前10%,吉林大学,,,416
18,24,前10%,天津大学,,,372
19,17,前10%,复旦大学,,,366
20,18,前10%,苏州大学,,,359
21,22,前10%,南昌大学,,,340
22,21,前10%,东华大学,,,327
23,26,前25%,东北大学,,,324
23,23,前25%,山东大学,,,324
25,20,前25%,上海大学,,,314
26,25,前25%,大连理工大学,,,311
27,29,前25%,南京工业大学,,,306
28,28,前25%,中山大学,,,295
29,27,前25%,东南大学,,,263
30,31,前25%,重庆大学,,,257
31,29,前25%,北京理工大学,,,255
32,34,前25%,南京理工大学,,,242
33,32,前25%,同济大学,,,240
34,35,前25%,燕山大学,,,216
35,40,前25%,华东理工大学,,,213
36,36,前25%,电子科技大学,,,211
37,37,前25%,武汉大学,,,183
38,39,前25%,北京工业大学,,,165
39,38,前25%,厦门大学,,,164
40,41,前25%,哈尔滨工程大学,,,161
41,49,前25%,湖南大学,,,159
42,33,前25%,南开大学,,,150
43,44,前25%,南京航空航天大学,,,140
44,47,前25%,济南大学,,,138
45,45,前25%,太原理工大学,,,128
46,48,前25%,郑州大学,,,124
47,43,前25%,合肥工业大学,,,119
47,53,前25%,西南交通大学,,,119
49,46,前25%,湘潭大学,,,108
50,52,前25%,江苏大学,,,104
51,42,前25%,兰州大学,,,102
51,54,前25%,青岛科技大学,,,102
53,66,前25%,深圳大学,,,101
54,72,前25%,广东工业大学,,,96
55,55,前25%,河北工业大学,,,87
55,98,前25%,天津理工大学,,,87
57,67,前50%,陕西科技大学,,,85
58,57,前50%,西安理工大学,,,84
59,,前50%,上海科技大学,,,83
60,50,前50%,武汉科技大学,,,82
61,63,前50%,青岛大学,,,77
62,,前50%,南京邮电大学,,,76
63,60,前50%,江南大学,,,72
64,65,前50%,安徽大学,,,71
65,59,前50%,湖北大学,,,70
65,,前50%,装甲兵工程学院,,,70
67,70,前50%,河南科技大学,,,67
67,63,前50%,中国矿业大学,,,67
69,61,前50%,浙江理工大学,,,66
69,61,前50%,国防科学技术大学,,,66
71,89,前50%,华东师范大学,,,65
72,75,前50%,福州大学,,,62
73,72,前50%,西南大学,,,61
74,56,前50%,常州大学,,,60
75,50,前50%,天津工业大学,,,59
75,76,前50%,浙江工业大学,,,59
77,68,前50%,安徽工业大学,,,58
77,69,前50%,昆明理工大学,,,58
79,82,前50%,暨南大学,,,56
80,78,前50%,陕西师范大学,,,50
81,85,前50%,江苏科技大学,,,49
82,78,前50%,中国计量大学,,,48
83,84,前50%,河南大学,,,46
84,76,前50%,上海理工大学,,,45
85,82,前50%,中国石油大学（华东）,,,44
86,85,前50%,中国地质大学（北京）,,,43
87,,前50%,西安建筑科技大学,,,42
88,,前50%,杭州电子科技大学,,,41
88,78,前50%,西安工业大学,,,41
90,93,前50%,桂林电子科技大学,,,39
90,,前50%,兰州理工大学,,,39
90,102,前50%,西南科技大学,,,39
93,90,前50%,武汉工程大学,,,38
93,,前50%,西安电子科技大学,,,38
93,85,前50%,中国石油大学（北京）,,,38
96,90,前50%,北京交通大学,,,37
97,93,前50%,华南师范大学,,,36
97,102,前50%,齐鲁工业大学,,,36
97,72,前50%,武汉纺织大学,,,36
100,81,前50%,黑龙江大学,,,35
100,100,前50%,扬州大学,,,35
102,98,前50%,哈尔滨理工大学,,,34
103,70,前50%,东北师范大学,,,33
103,93,前50%,长安大学,,,33
105,96,前50%,广西大学,,,31
105,96,前50%,华北电力大学,,,31
105,,前50%,中国地质大学（武汉）,,,31
108,,前50%,华侨大学,,,30
108,,前50%,中北大学,,,30
110,,前50%,北京工商大学,,,29
110,102,前50%,北京师范大学,,,29
112,,前50%,河南理工大学,,,28
112,,前50%,上海工程技术大学,,,28
112,100,前50%,中国海洋大学,,,28
