排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,河海大学,,,1376
2,前5%,清华大学,,,824
3,前5%,武汉大学,,,678
4,前10%,北京师范大学,,,586
5,前10%,天津大学,,,518
6,前10%,大连理工大学,,,446
7,前25%,四川大学,,,317
8,前25%,中山大学,,,259
9,前25%,中国农业大学,,,254
10,前25%,西北农林科技大学,,,244
11,前25%,同济大学,,,233
12,前25%,青海大学,,,213
13,前25%,南京大学,,,196
14,前25%,华中科技大学,,,188
15,前25%,哈尔滨工业大学,,,181
16,前25%,中国海洋大学,,,172
17,前50%,西安理工大学,,,168
18,前50%,中国地质大学（北京）,,,150
19,前50%,中国地质大学（武汉）,,,117
20,前50%,华北电力大学,,,110
21,前50%,郑州大学,,,104
22,前50%,吉林大学,,,87
23,前50%,江苏大学,,,79
23,前50%,山东大学,,,79
25,前50%,兰州大学,,,73
26,前50%,中国矿业大学,,,70
27,前50%,华东师范大学,,,58
28,前50%,北京工业大学,,,55
28,前50%,内蒙古农业大学,,,55
30,前50%,华南理工大学,,,51
31,前50%,合肥工业大学,,,44
31,前50%,长沙理工大学,,,44
