2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,河海大学,,,1353
2,2,前5%,清华大学,,,878
3,3,前5%,武汉大学,,,757
4,6,前10%,大连理工大学,,,618
5,5,前10%,天津大学,,,486
6,4,前10%,北京师范大学,,,430
7,9,前10%,中国农业大学,,,347
8,16,前25%,中国海洋大学,,,297
9,8,前25%,中山大学,,,272
10,10,前25%,西北农林科技大学,,,269
11,7,前25%,四川大学,,,256
12,17,前25%,西安理工大学,,,222
13,11,前25%,同济大学,,,214
14,12,前25%,青海大学,,,198
15,13,前25%,南京大学,,,186
16,15,前25%,哈尔滨工业大学,,,165
17,14,前25%,华中科技大学,,,158
18,19,前50%,中国地质大学（武汉）,,,139
19,18,前50%,中国地质大学（北京）,,,133
20,21,前50%,郑州大学,,,128
21,20,前50%,华北电力大学,,,102
22,22,前50%,吉林大学,,,92
23,25,前50%,兰州大学,,,83
24,26,前50%,中国矿业大学,,,76
25,,前50%,南京信息工程大学,,,72
26,27,前50%,华东师范大学,,,65
27,,前50%,长安大学,,,64
28,23,前50%,江苏大学,,,56
29,28,前50%,北京工业大学,,,52
29,,前50%,三峡大学,,,52
31,31,前50%,合肥工业大学,,,49
31,30,前50%,华南理工大学,,,49
33,23,前50%,山东大学,,,48
34,,前50%,东北农业大学,,,45
34,,前50%,华北水利水电大学,,,45
34,28,前50%,内蒙古农业大学,,,45
