排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,武汉大学,,,1160
2,前5%,同济大学,,,474
3,前10%,北京师范大学,,,268
4,前10%,南京大学,,,142
5,前10%,北京大学,,,140
6,前25%,清华大学,,,80
7,前25%,电子科技大学,,,69
8,前25%,西南交通大学,,,59
9,前25%,中国地质大学（武汉）,,,47
10,前25%,中国矿业大学,,,46
11,前25%,中南大学,,,43
12,前25%,河南理工大学,,,37
13,前50%,河海大学,,,36
14,前50%,解放军信息工程大学,,,35
15,前50%,中国地质大学（北京）,,,34
16,前50%,南京师范大学,,,25
17,前50%,吉林大学,,,23
18,前50%,首都师范大学,,,21
19,前50%,中国矿业大学（北京）,,,19
20,前50%,中国海洋大学,,,16
21,前50%,长安大学,,,14
22,前50%,北京交通大学,,,12
23,前50%,桂林理工大学,,,10
23,前50%,山东科技大学,,,10
25,前50%,东南大学,,,9
